"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"26718","AT 2018bxx","19:19:06.09","-02:52:39.76","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhb","Gaia - Gaia-photometric","","1","1","","17.58","G-Gaia","2018-05-19 01:16:19","Gaia_Bot1",""
"26717","AT 2018bxw","19:17:09.19","-12:16:01.67","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bha","Gaia - Gaia-photometric","","1","1","","17.39","G-Gaia","2018-05-19 09:12:57","Gaia_Bot1",""
"26716","AT 2018bxv","18:45:24.83","-14:01:11.75","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bgz","Gaia - Gaia-photometric","","1","1","","18.93","G-Gaia","2018-05-16 01:26:24","Gaia_Bot1",""
"26715","AT 2018bxu","16:17:13.07","+10:01:00.20","","","","","ATLAS","","ATLAS","ATLAS18pqh","ATLAS1 - ACAM1","","1","1","","19.676","cyan-ATLAS","2018-05-21 11:51:21","ATLAS_Bot1",""
"26714","AT 2018bxt","16:51:55.37","+04:19:49.07","","","","","ATLAS","","ATLAS","ATLAS18pqb","ATLAS1 - ACAM1","","1","1","","19.476","cyan-ATLAS","2018-05-20 09:04:19","ATLAS_Bot1",""
"26713","AT 2018bxs","15:28:10.43","+16:55:44.63","","","","","ATLAS","","ATLAS","ATLAS18ppz","ATLAS1 - ACAM1","","1","1","","19.223","cyan-ATLAS","2018-05-21 10:59:31","ATLAS_Bot1",""
"26712","AT 2018bxr","13:38:47.28","+30:57:34.50","","","","","ZTF","","ZTF","ZTF18aavnvmp","P48 - ZTF-Cam","","1","1","","20.09","r-ZTF","2018-05-19 06:28:48","ZTF_Bot1",""
"26711","AT 2018bxq","16:36:52.55","-85:08:59.68","","","","","ASAS-SN","","ASAS-SN","ASASSN-18ld","ASASSN-3 - Paczynski","","1","1","","17.1","g-Sloan","2018-05-24 03:07:12","Stanek",""
"26710","AT 2018bxp","13:09:13.84","+41:56:50.32","","","","","Pan-STARRS1","","Pan-STARRS1","PS18tx","PS1 - GPC1","","1","1","","20.59","i-Sloan","2018-05-22 06:40:19","PS1_Bot1",""
"26709","AT 2018bxo","13:46:56.44","+43:08:14.23","","","","","Pan-STARRS1","","Pan-STARRS1","PS18ty","PS1 - GPC1","","1","1","","19.96","i-Sloan","2018-05-22 06:48:57","PS1_Bot1",""
