id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
99411931082224322548,183.19162,0.40781,SN,TNS,0,0.0094129235620828,0,17.93,23.8327,22.55023,23.2465,24.13711,22.56991
88070716200839254098,222.92887,8.57014,SN,TNS,1,0.0583868347364273,0.135931,18.6,22.45082,19.11652,18.37706,17.91698,17.64788
6574297622805695360,351.32408,-18.87839,SN,TNS,1,0.0150151292360784,0.293199,18.48,23.44007,22.162,21.43834,22.21181,24.38637
62906756367649381045,17.44487,13.30803,SN,TNS,1,0.0151494829799923,-9999,16.8,22.45956,22.26812,22.14349,22.6016,22.82689
64126713102531843354,208.20087,12.03969,SN,TNS,1,0.0136829750726146,0.115398,18.31,21.19794,19.56284,18.86077,18.54556,18.29663
74441991225309113310,251.60746,40.04505,SN,TNS,1,0.0182717052379776,0.021948,18.5,18.07432,16.70834,16.34702,16.18139,16.18376
37526429554833683467,218.12162,49.89292,SN,TNS,0,0.0436745695626943,0,16.7,24.4813,23.96275,23.03452,21.86545,22.173
42570282857526856093,230.827,18.29258,SN,TNS,1,0.08947394731945,0.59333,17.4,25.61142,23.02346,21.89907,21.09845,20.46632
6031169231352104728,19.565,15.09967,SN,TNS,0,0.0319554111827084,0,17.2,22.46842,21.86441,21.93743,21.68474,21.84294
62504977587633396515,12.89517,29.72081,SN,TNS,1,0.0227455122162612,0.420576,16.8,25.94412,21.80309,21.22185,21.61261,22.57686
33041857641859922204,28.68529,-7.004,SN,TNS,1,0.0854536652503625,0.069004,18.5,19.12066,16.92985,16.174,15.78094,15.49715
6737864371466295919,174.11567,18.29637,SN,TNS,1,0.00734093233734795,0.130768,18.29,23.36445,21.1167,20.67327,20.54825,20.1164
83865241137882174298,235.12179,0.9101,SN,TNS,1,0.0214738507883177,0.015097,16.3,18.04874,17.01442,16.67688,16.52227,16.42284
68685894622920655361,246.73033,33.64011,SN,TNS,1,0.0241356776348807,0.710829,16.8,23.35433,22.64873,22.52066,23.22808,22.92999
5259026806649667247,172.29667,36.00572,SN,TNS,1,0.016536083595523,0.097403,18.3,21.14599,19.98394,19.60122,19.37847,19.55083
20502500886072897883,231.62308,41.7344,SN,TNS,1,0.0172845750177622,0.095097,16.58,22.96798,21.51832,21.3681,21.68045,22.33158
35749585400538643314,346.51167,34.11019,SN,TNS,0,0.0693194764897593,0,18.0,23.09559,21.81446,21.07947,20.68487,20.52653
93866365575139635052,244.38462,31.58256,SN,TNS,0,0.0757330263458233,0,16.3,24.66876,23.16921,22.36606,21.18892,20.64413
67716989852691821951,228.42421,16.10183,SN,TNS,1,0.014182174891392,0.24724,18.5,22.37938,21.55665,21.37824,21.05924,21.46092
28421546393769323715,12.89517,29.72081,SN,TNS,1,0.0227455122162612,0.420576,17.0,25.94412,21.80309,21.22185,21.61261,22.57686
15043898589587668111,208.94762,21.19075,SN,TNS,1,0.0209384913507619,0.350445,19.0,22.12785,21.60233,21.51299,21.27186,21.50295
95546631945388286002,218.17275,52.08079,SN,TNS,1,0.0255971604938348,0.071733,18.82,19.65417,18.43597,17.99779,17.70976,17.74923
18540464700554502563,359.47804,28.50343,SN,TNS,1,0.0864449335868,0.057122,18.8,18.54722,17.14612,16.46183,16.09174,15.82646
73919397793330712370,170.21817,51.54172,SN,TNS,1,0.0117493507140062,0.335537,18.0,22.85542,21.87877,21.38712,21.13959,20.55183
53213840861707842819,354.44058,14.71031,SN,TNS,1,0.0687141191693171,-9999,16.2,19.28127,18.65044,19.64253,23.19304,23.39565
