id,ra,dec,transient_label,host_label_1,host_label_2,offset_1,offset_2,redshift_1,redshift_2,u_1,g_1,r_1,i_1,z_1,u_2,g_2,r_2,i_2,z_2
32990798062316760491,6.58012,-4.49511,SN,0,0,0.0945890456584622,0.0954532609817363,0,0,24.63464,22.25788,21.2847,21.21745,21.03241,24.63465,22.95466,22.0162,21.41336,22.74718
78315184106877190801,247.43425,40.81161,SN,1,0,0.131901700967863,0.293056413216284,-9999,0,14.68418,12.76964,11.93247,11.54801,11.22734,24.13995,22.14774,21.40112,20.92541,20.68184
10454694534725142540,7.46179,31.39275,SN,0,0,0.0148048134452313,0.0569042133993922,0,0,23.36128,23.51627,23.92339,22.10581,22.36063,23.69127,23.75342,21.72852,21.11239,21.44963
96144335810329540332,345.40158,32.33525,SN,1,0,0.152538123060394,0.22996673471515,0.092657,0,19.81225,18.15916,17.25808,16.72833,16.3584,26.32799,26.00457,24.85794,22.35456,20.47104
27599734124573502328,336.49817,17.22583,SN,1,0,0.00385294837870663,0.269108131955482,0.119503,0,19.70014,17.75661,16.68596,16.24964,15.84661,22.64692,20.40347,19.39426,19.02659,18.74229
87702046923237666077,195.16662,27.92344,SN,1,0,0.0583647290498832,0.139681407583334,0.025762,0,16.64754,14.76267,14.00413,13.58521,13.28477,22.58188,24.0386,23.86803,23.23618,22.5884
20983244782879533807,214.32746,53.97831,SN,1,1,0.0190624047238807,0.151088212422349,0.381493,0.432982,22.58658,21.59959,19.94967,19.3386,18.92269,22.11777,21.62703,20.3652,19.79997,19.75234
2421832341749354912,242.15512,4.27408,SN,0,0,0.181355922202777,0.199447054340918,0,0,18.22652,16.4645,15.80161,15.56485,15.4426,24.72442,24.09019,22.94065,21.42359,20.61794
13334015890220329236,141.15812,49.35889,SN,1,0,0.115041738249152,0.116378844410188,0.02599,0,15.0312,13.48584,12.85808,12.54104,12.41074,24.63466,23.96943,20.88329,23.34535,22.12012
8653062996946704907,359.02729,29.37842,SN,0,1,0.00586975136108876,0.0898713720711109,0,0.025461,21.86742,21.60396,22.35479,24.3618,22.8269,16.74129,15.27772,14.5823,14.24128,13.96488
46647846400613067590,348.49883,24.89414,SN,0,0,0.0752322056731815,0.153166478222809,0,0,22.88139,21.96283,20.95174,21.54129,21.55033,24.84309,24.62619,23.35113,22.48996,20.56799
52012497594861442496,356.24925,-3.98714,SN,1,0,0.0155931977095541,0.130766937915459,0.073833,0,24.94978,20.80946,20.49062,20.29053,20.43334,23.47994,19.97735,18.47917,17.53003,17.0283
54672346055538142850,169.47867,-2.09589,SN,0,0,0.158522863529961,0.183031148111298,0,0,22.54276,23.51552,24.33223,24.3618,22.90252,21.23775,20.80788,20.98036,21.69414,21.94622
46089449392942239826,332.71529,2.10822,SN,0,0,0.00597522872282384,0.102802815467226,0,0,23.51611,21.35344,21.12602,21.88778,22.82689,23.24721,24.23186,23.79807,22.55787,21.2197
81796961508405283166,9.26987,-6.16089,SN,1,0,0.0220796191218639,0.152750241523809,0.337375,0,22.77308,21.95742,21.3249,21.33917,21.08996,21.86974,20.82699,20.29869,20.1442,20.17977
40623433447339421375,218.93596,24.72819,SN,0,0,0.106738638093138,0.108200203521843,0,0,24.77751,23.66221,23.55743,22.3945,22.78535,24.54449,23.86148,22.97665,21.63054,21.40779
