ID,Name,RA,DEC,Type,Redshift,Host Name,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS objid,SDSS type,SDSS offset,SDSS ra,SDSS dec,SDSS redshift,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS err_u,SDSS err_g,SDSS err_r,SDSS err_i,SDSS err_z,SDSS err_redshift
1658,SN 1999gi,154.56942,41.44117,SN II,,NGC 3184        ,,,,,,,,0,1,,14.5,,1999-12-09 00:00:00,,,1237661851996520504,3,0.30882560735881,154.567696807639,41.4461523727771,-9999,24.63405,13.5995,12.7853,12.93807,15.47197,62.65694,0.00306559,0.002569217,0.00341806,0.07950716,-9999
1659,SN 1999gj,157.33029,26.10533,SN Ia,,NGC 3251        ,,,,,,,,0,1,,17.5,,1999-11-17 00:00:00,,,1237667252931264609,3,0.0183302606194715,157.3305165516,26.1055579145108,-9999,21.92855,21.32173,21.37074,22.67876,22.13598,0.1678149,0.05589821,0.08020861,0.367052,0.6170305,-9999
1654,SN 1999ge,14.18233,-9.91194,SN II,,NGC 309         ,,,,,,,,0,1,,17.2,,1999-11-27 00:00:00,,,1237652947457998902,6,0.0169574325783842,14.1821577619809,-9.91216602953138,0,23.02838,21.50594,21.6373,22.53014,22.82689,0.6065247,0.0733952,0.1122887,0.3357534,0.9415111,0
1651,SN 1999gb,122.55708,33.95828,SN IIn,,NGC 2532        ,,,,,,,,0,1,,16.1,,1999-11-22 00:00:00,,,1237674365920739469,3,0.0939577299540129,122.557229957959,33.9567189854623,-9999,24.63466,22.21457,20.40482,20.79212,22.8269,1.070751,0.1298108,0.03589189,0.06206139,0.552775,-9999
1656,SN 1999gg,51.99517,39.90528,SN II,,MCG +07-8-11    ,,,,,,,,0,1,,16.8,,1999-11-06 00:00:00,,,1237661083200193062,6,0.0606010311283309,51.9953218300438,39.9062832794788,0,23.77142,23.75774,24.80202,24.3618,22.8269,0.477972,0.2969202,0.5808334,0.5673246,0.4422345,0
1655,SN 1999gf,153.40417,-0.936,SN Ia,,UGC 5515        ,,,,,,,,0,1,,17.5,,1999-11-27 00:00:00,,,1237648720145350698,3,0.276994081732248,153.407448215634,-0.932749021619386,0.371905,23.84403,21.93125,20.36569,19.76857,19.24047,0.6685711,0.08859762,0.03250512,0.0285034,0.06225193,0.054787
1653,SN 1999gd,129.60254,25.75919,SN Ia,,NGC 2623        ,,,,,,,,0,1,,17.8,,1999-11-24 00:00:00,,,1237664668961538090,6,0.0344734540322,129.602949089684,25.7596308746483,0,22.60528,21.26662,21.10092,21.11293,20.47571,0.3307375,0.04742113,0.05781634,0.08125868,0.1819471,0
1647,SN 1999fy,353.44542,0.20444,SN II,,Anon.           ,,,,,,,,0,1,,22.7,,1999-11-03 00:00:00,,,1237663784194539992,3,0.0213230175397531,353.445450296942,0.204794089859184,0.714743,22.99676,23.09536,22.35601,23.68047,21.4487,0.347313,0.1712917,0.1413957,0.510322,0.3607446,0.104346
1646,SN 1999fx,353.40746,0.20106,SN Ia,,Anon.           ,,,,,,,,0,1,,23.1,,1999-11-03 00:00:00,,,1237663784194474784,3,0.0187323426343592,353.407572921766,0.201351069128894,0.450066,22.30904,21.57487,20.63972,20.21015,19.98597,0.4559723,0.1124824,0.07754242,0.07562362,0.2598861,0.086699
1644,SN 1999fv,352.64917,0.27778,SN Ia,,Anon.           ,,,,,,,,0,1,,24.5,,1999-11-03 00:00:00,,,1237666408439218672,3,0.113679400193458,352.647323273308,0.278203561924784,0.440929,22.88059,22.62982,21.38194,20.9481,20.21957,0.5723422,0.1721871,0.09012428,0.08287757,0.1855418,0.07446
1642,SN 1999ft,352.06208,0.08517,SN Ia,,Anon.           ,,,,,,,,0,1,,24.7,,1999-11-03 00:00:00,,,1237663784193885408,3,0.035815856799376,352.062042976904,0.0857657817121299,0.409328,26.00481,22.22295,21.93548,21.71101,20.63198,0.9903055,0.1895886,0.2829845,0.3217956,0.4780489,0.125141
1643,SN 1999fu,352.45087,0.14083,SN Ia,,Anon.           ,,,,,,,,0,1,,24.9,,1999-11-03 00:00:00,,,1237663784194081698,3,0.096638622108689,352.452185520836,0.139900705401538,0.660013,24.73685,23.8462,22.32836,21.21362,20.51624,0.7439014,0.3304173,0.1384303,0.07542913,0.1742956,0.053188
1636,SN 1999fn,63.51617,4.29861,SN Ia,,Anon.           ,,,,,,,,0,1,,23.5,,1999-11-03 00:00:00,,,1237673450551443957,3,0.322629957220271,63.5181140514621,4.30362555932501,0.197904,23.86385,21.53807,20.04981,19.42633,18.92651,1.236663,0.08042239,0.03398493,0.02964425,0.06803228,0.036521
1645,SN 1999fw,352.97096,0.15897,SN Ia,,Anon.           ,,,,,,,,0,1,,21.1,,1999-11-03 00:00:00,,,1237663784194343231,3,0.0172604029825442,352.970866739196,0.15924213684931,0.423477,23.12837,22.52963,21.45942,21.09596,20.74896,0.4255507,0.1190103,0.07121471,0.0763045,0.2333013,0.100519
1637,SN 1999fo,63.69062,6.64286,SN Ia,,Anon.           ,,,,,,,,0,1,,24,,1999-11-03 00:00:00,,,1237673452699648160,3,0.185389445651296,63.6912861870201,6.64587813674885,-9999,24.38488,25.36329,22.58718,24.15542,23.8274,0.9118798,0.564677,0.2043429,0.7800058,0.4466115,-9999
1640,SN 1999fr,351.81825,0.063,SN II,,Anon.           ,,,,,,,,0,1,,23.7,,1999-11-03 00:00:00,,,1237663784193819495,3,0.0115983802859877,351.818270094909,0.0631922590322553,0.281192,24.41884,23.1592,22.29929,22.02371,22.54399,0.9273861,0.2223032,0.1590068,0.1828997,0.8267461,0.1041
1635,SN 1999fm,37.64842,1.16203,SN Ia,,Anon.           ,,,,,,,,0,1,,23.6,,1999-11-03 00:00:00,,,1237678437015487022,3,0.255085498888193,37.6467638193374,1.15811428751268,0.106151,23.83611,22.14448,22.28581,21.88004,22.06853,1.030002,0.1302499,0.1924569,0.207728,0.6723029,0.160668
1633,SN 1999fk,37.2245,1.27339,SN Ia,,Anon.           ,,,,,,,,0,1,,24.3,,1999-11-03 00:00:00,,,1237678437015290894,3,0.0272323079641889,37.2240462612161,1.27337508688748,0.582356,22.93212,23.42983,23.18078,21.90011,22.47897,0.4811307,0.3361941,0.3399436,0.1668291,0.7043827,0.142663
1634,SN 1999fl,37.52304,0.74794,SN II,,Anon.           ,,,,,,,,0,1,,24.9,,1999-11-03 00:00:00,,,1237657587096551839,3,0.0232634934078757,37.5233177212342,0.748210582064971,0.52423,25.22001,23.16601,21.64318,20.85437,20.16434,0.8585488,0.2410802,0.09015743,0.06926803,0.1311638,0.057608
1631,SN 1999fi,37.04863,0.72758,SN Ia,,Anon.           ,,,,,,,,0,1,,24.1,,1999-11-03 00:00:00,,,1237657587096289509,6,0.158137666789657,37.0512124830352,0.72705237344502,0,21.61745,18.94853,17.4593,16.57972,16.10215,0.1179453,0.009251956,0.005746211,0.005168877,0.006853909,0
1628,SN 1999ff,38.47662,0.54878,SN Ia,,Anon.           ,,,,,,,,0,1,,23.1,,1999-11-02 00:00:00,,,1237663784751137075,3,0.0208959855940819,38.4767752488245,0.548468247668611,0.366877,23.20471,21.88954,20.2607,19.69891,19.43837,0.4554197,0.08363301,0.02957978,0.02871756,0.1147531,0.05745
1630,SN 1999fh,36.99304,0.66022,SN Ia,,Anon.           ,,,,,,,,0,1,,22.4,,1999-11-03 00:00:00,,,1237657587096289947,3,0.0203435959811668,36.9933638180621,0.660320585413278,0.200714,24.92852,22.7653,21.80248,21.33671,21.87027,0.9672153,0.1641463,0.09987841,0.1052766,0.5033075,0.146693
1626,SN 1999fd,45.82287,0.05183,SN Ia,,Anon.           ,,,,,,,,0,1,,25.3,,1999-10-04 00:00:00,,,1237663784217477721,3,0.12638206078917,45.8208664617149,0.0524800942001716,0.48463,24.0436,23.69248,22.72449,22.80563,22.57251,0.7595628,0.3276094,0.1963133,0.314529,0.7396876,0.08553
1632,SN 1999fj,37.09883,0.65267,SN Ia,,Anon.           ,,,,,,,,0,1,,23.5,,1999-11-03 00:00:00,,,1237657587096355312,3,0.281014279911765,37.1029988960762,0.650534960502629,0.344596,24.36955,22.66184,21.97983,22.00982,21.30916,1.341058,0.2048898,0.1622256,0.258128,0.467696,0.104989
1627,SN 1999fe,45.75583,0.21403,SN II,,Anon.           ,,,,,,,,0,1,,25,,1999-10-04 00:00:00,,,1237666301090464607,3,0.163492774322167,45.7574769106116,0.211859126538699,0.41593,21.33149,21.46085,20.69674,20.57573,20.14547,0.4085744,0.1829127,0.1512139,0.1991341,0.6223968,0.101172
1623,SN 1999fa,339.3735,-0.19336,SN Ia,,Anon.           ,,,,,,,,0,1,,23.8,,1999-10-04 00:00:00,,,1237663543150118154,3,0.0253896284557413,339.373888589772,-0.193527524616506,0.318483,23.94518,23.89285,22.47719,22.96544,21.64894,0.8172579,0.3998837,0.1882111,0.4066686,0.5167783,0.09778
1625,SN 1999fc,45.62671,0.17056,SN Ia,,Anon.           ,,,,,,,,0,1,,24.8,,1999-10-04 00:00:00,,,1237663784217347005,3,0.100068060357345,45.6262944418497,0.168944799351465,0.57825,22.19938,22.41611,21.40725,20.69985,20.60086,0.4552188,0.2439013,0.1490204,0.1228215,0.4717915,0.076433
1617,SN 1999ev,184.95137,29.62283,SN II,,NGC 4274        ,,,,,,,,0,1,,14.4,,1999-11-07 00:00:00,,,1237665441512030287,3,0.0258559898352935,184.950881722827,29.622904421761,-9999,24.63466,21.98479,21.88306,24.3618,21.41574,2.898951,0.2655238,0.3637106,2.565086,1.238028,-9999
1618,SN 1999ew,171.57358,46.97575,SN II,,NGC 3677        ,,,,,,,,0,1,,16.5,,1999-11-13 00:00:00,,,1237660636000157774,3,0.0991214024574191,171.573981542909,46.9741208541616,0.012702,15.23358,13.72414,12.95971,12.60078,12.28941,0.005795286,0.00175025,0.001660884,0.001671099,0.002412649,0.006849
1615,SN 1999et,70.93333,-5.31917,SN II,,NGC 1643        ,,,,,,,,0,1,,17.6,,1999-11-04 00:00:00,,,1237674285925073321,3,0.0186773040504431,70.9331599258304,-5.31943119693788,0.031155,15.63486,14.13247,13.42365,13.01107,12.70399,0.006760491,0.002008808,0.001848732,0.001818359,0.002371689,0.00725
1612,SN 1999eq,19.84458,-3.6055,SN II,,Anon.           ,,,,,,,,0,1,,19,,1999-10-03 00:00:00,,,1237678887981416662,3,0.00626294218255501,19.8446752109387,-3.60554320192621,0.034012,16.86832,15.51835,14.94405,14.61381,14.37855,0.01514374,0.00307625,0.002850827,0.002928516,0.006069469,0.00765
1613,SN 1999er,41.77867,-2.96219,SN II,,MCG -01-8-8     ,,,,,,,,0,1,,20.4,,1999-10-01 00:00:00,,,1237676673933049956,3,0.157561231056785,41.7799487282044,-2.96448460410216,0.481719,19.87191,18.30221,17.81073,20.25396,19.2091,0.360957,0.05172653,0.0435709,0.5336562,0.6473995,0.072419
1614,SN 1999es,38.18083,22.45222,SN Ia,,Anon.           ,,,,,,,,0,1,,18.5,,1999-11-02 00:00:00,,,1237678585727746158,6,0.0884505144036552,38.1792359813825,22.4522739128998,0,24.62308,24.77401,22.92853,22.60375,22.60805,1.138786,0.6178634,0.2787092,0.2847646,0.6771582,0
