id,label,ra,dec,mag,SDSS objid,SDSS type,SDSS offset,SDSS ra,SDSS dec,SDSS redshift,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS err_u,SDSS err_g,SDSS err_r,SDSS err_i,SDSS err_z,SDSS err_redshift
8899433081518322659,SN,168.48358,12.30217,17,1237661950247501925,6,0.0789483193457442,168.483929951312,12.3008993950915,0,21.29261,20.523,20.43281,21.23417,21.0686,0.1950338,0.04995696,0.06576146,0.1654569,0.4872422,0
18884521367797265668,SN,129.495344624295,43.806174743989,20.7554,1237654652028649486,3,0.0502722008558461,129.494509177326,43.8055929382259,0.072252,18.42322,17.22314,16.68691,16.36849,16.23872,0.02770444,0.005666444,0.005241199,0.005594767,0.01545439,0.013703
50757342209415941394,SN,180.29404,14.10342,15,1237664289389543505,3,0.00644048032800074,180.294108080515,14.1035046310557,0.009062,15.33662,14.08921,13.7692,13.65077,13.5192,0.008071078,0.002296928,0.002428667,0.00337894,0.004775186,0.006996
79292560674012153591,SN,124.77692,7.72256,22.6,1237661069774096144,3,0.029327306943773,124.777413078564,7.72257333499459,0.506318,22.83878,23.06065,21.65255,21.59159,21.5428,0.4718031,0.2539203,0.1049744,0.1522273,0.5973328,0.072276
91452619109123523072,SN,6.985,32.77825,17.8,1237673073667997888,3,0.0662127007674107,6.98397059378891,32.778934641404,0.202133,25.07219,24.54826,22.85346,23.14073,22.51727,0.8922345,0.5330614,0.2374512,0.3831033,0.5969825,0.063744
23063871640691360541,SN,14.18233,-9.91194,17.2,1237652947457998902,6,0.0169574325783842,14.1821577619809,-9.91216602953138,0,23.02838,21.50594,21.6373,22.53014,22.82689,0.6065247,0.0733952,0.1122887,0.3357534,0.9415111,0
48607012391707982174,AGN,162.67011856491763,39.293239127456644,18.3827,1237661136889315664,3,0.000387947605523693,162.670117324151,39.293232733365,0.351348,20.74809,20.39544,19.40629,19.13958,18.53535,0.07084501,0.0281383,0.01742847,0.02003708,0.04333007,0.055232
8471642487232161198,SN,162.392579733909,57.6156819551088,20.516,1237655107835920749,3,0.449281074326814,162.379269979282,57.6179745538573,0.377901,22.08966,21.56029,20.70671,20.53318,20.19449,0.2841214,0.09342175,0.06459871,0.07683919,0.2277961,0.070857
86242211267613613888,SN,236.64871,8.19067,23,1237661950276863040,3,0.00680226428014007,236.648596138756,8.19065768109544,0.531287,24.71873,23.44938,21.36817,20.45358,19.82726,2.027976,0.4784424,0.1120222,0.06539619,0.1515593,0.03546
81318848772408787903,SN,159.981746869751,58.8243661774026,21.8843,1237658304889749628,3,0.0594458633225248,159.979983453399,58.8247512977769,0.064741,19.35806,18.40795,18.09336,17.88746,17.84448,0.03791366,0.008060234,0.008280624,0.009934981,0.03126463,0.025164
38012066446639616509,SN,135.18013,17.621,17.5,1237667429017518248,3,0.0519440015989678,135.179877839284,17.6218317068921,0.075305,17.25387,16.14833,15.87521,15.64567,16.28762,0.03660328,0.007336953,0.008252129,0.01182242,0.07821789,0.03254
15418269829828017016,SN,70.13996,-5.501,24,1237649927028015417,3,0.0508816756341058,70.1407019939207,-5.50141672080061,0.316758,22.6636,21.66324,20.72938,20.39978,19.75734,0.7988911,0.1808403,0.0814291,0.09157801,0.1940429,0.085629
98460440474599738673,SN,250.46133,37.73639,19,1237659327104418117,6,0.0501420121259117,250.461585861709,37.7355791663994,0,23.89671,22.89693,21.40095,20.31565,19.72348,0.8431005,0.1806435,0.07206786,0.0433032,0.09004394,0
91366257720908194787,SN,126.04533,12.11628,17.8,1237667782809878715,3,0.0933560043329256,126.044120176753,12.1152691907007,0.086211,20.80975,18.94393,18.24922,17.88838,17.7107,0.3341956,0.02851304,0.02381538,0.02487487,0.09539955,0.04261
7421893345439488720,SN,129.60254,25.75919,17.8,1237664668961538090,6,0.0344734540322,129.602949089684,25.7596308746483,0,22.60528,21.26662,21.10092,21.11293,20.47571,0.3307375,0.04742113,0.05781634,0.08125868,0.1819471,0
56989764847494303505,SN,333.38048032872,-0.452903853521584,22.1764,1237663542610625013,3,0.295198554762578,333.3851408342,-0.454480943727767,0.392191,22.05552,21.58394,20.63474,20.40375,20.33724,0.2498071,0.07800875,0.05519404,0.07155959,0.2109498,0.095498
53950368672318386115,AGN,165.7076869092084,52.83685264188018,17.9506,1237657589781495949,6,0.00114450619340494,165.707716161185,52.8368454582284,0,20.39144,20.02854,20.01793,19.90552,19.69286,0.05728118,0.01754814,0.02195117,0.02707618,0.08048146,0
70536670089679154402,SN,163.57896,27.23536,16,1237667252933754945,6,0.0655557511051014,163.578226561096,27.2344833617504,0,20.75737,20.5603,20.74077,20.86263,21.4782,0.07528093,0.03723206,0.0454092,0.07155041,0.4161129,0
31666781733737503719,SN,55.98867,39.29428,17.2,1237661060650303636,6,0.0837987248887744,55.9877607334006,39.2930735846733,0,19.07482,18.42469,24.80204,24.36181,22.82691,0.1326325,0.01310123,4.357675,4.157697,3.53475,0
14885099073405503030,SN,340.83879,-0.11472,18.9,1237663543150707053,3,0.0268592845907525,340.838621345491,-0.115134669193589,0.079208,20.15031,18.91241,18.4704,18.17256,18.12915,0.1036203,0.01680452,0.0219203,0.02051072,0.07455582,0.027988
2035778416151378382,SN,214.624266142445,53.7254284659973,22.4721,1237661387068277400,3,0.0166241533126259,214.624614742093,53.7252434585874,0.129922,21.4184,20.25744,19.80339,19.66589,19.19966,0.3048161,0.05161208,0.06324231,0.07100109,0.1687622,0.059509
17202775847264357377,SN,236.39967,8.28072,22.8,1237661950276731867,3,0.00605583009946044,236.39965187603,8.28062067577678,0.398318,22.9853,22.09159,20.77461,20.2589,20.17605,0.8716271,0.1436781,0.07138031,0.0573899,0.2306556,0.100921
18826868920028080869,SN,156.25267,53.87694,18.3,1237657770711646313,3,0.140902258031085,156.250328612651,53.8750401219661,0.037806,17.64565,16.58373,16.18067,15.92958,15.7001,0.01936237,0.00441255,0.004456573,0.005029534,0.01367002,0.005887
