NNo,GCVS,J2000.0,Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
780397,V0397 Tau *,035324.49 +250207.2,UV,16.6,21.6,,U,,,,,,03924 10031,,,1999.987,,2MASS,,V0397 Tau,
601200,V1200 Ori,053657.48 -070211.6,UV,14.8,21.5,,B,,,,,,70086 70086,,,1986.92,,GCVS,,V1200 Ori,
660072,AS    Psc,012808.37 +311457.3,UG,16.5,21.5,,B,,,,,,67191 67190,,,2002.05,,Lit.,,AS    Psc,
781212,V1212 Tau *,035156.97 +252528.6,UGSU,15.3,21.5,,B,,,,,,77033 77033,,,1986.845,,GCVS,,V1212 Tau,
40227,II    Aqr,221627.58 -202724.1,NL,19,21.5,,p,,,,,pec(e),73015 76005,,,1985.454,,GCVS,CV,II    Aqr,
80813,V0813 Aur,071948.92 +405331.8,UG,16.7,21.5,,*,,,,,,81118 81118,,0.000  0.000,2003.839,,SDSS,,V0813 Aur,
160077,AX    Cap,200856.99 -171639.2,UGSU,16,21.5,,V,,,,,pec(UG),80233 76005,,,,,GCVS,UGSU,AX    Cap,
181215,V1215 Cas *,235657.23 +563403.4,EA,21.1,21.5,21.5,r',51798.4653,,2.621486,2,,00001 80614,,,1999.5,,Lit.,EA,V1215 Cas,
190890,V0890 Cen,134931.97 -475440.6,NL,19,21.5,,p,,,,,pec(e),73015 73015,,,1983.2,,B1.0,CV,V0890 Cen,
311613,V1613 Cyg,210406.52 +433523.5,UVN,15.9,21.5,,U,,,,,,07948 2MASS,,,1999.437,,2MASS,,V1613 Cyg,
460221,HU    Leo,092444.47 +080151.0,EA+AM,18.2,21.5,,V,54856.71933,,0.0911411,8,pec(e),80237 USNO,,,2000.143,,2MASS,,HU    Leo,
592172,V2172 Oph,171444.19 -290243.8,M,18.8,21.5,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2172 Oph,
592293,V2293 Oph,171936.93 -250103.4,XND,17.1,21.5,,B,,,,,,72120,,,1993.756,,Lit.,,V2293 Oph,
800096,BS    Tri,020929.82 +283229.4,E+XM,17,21.5,,V,53666.543,,0.06685,6,pec(e),80108 80108,,,1997.846,,2MASS,,BS    Tri,
570381,V0381 Nor,155058.68 -562835.5,XND,15.6,21.4,,V,,,,,,76132 76133,,,1998.76,,GCVS,,V0381 Nor,
80808,V0808 Aur *,071126.01 +440405.2,AM+EA,14.8,21.4,,V,,,,,wd+dM,81115 USNO,,,1998.295,,2MASS,,V0808 Aur,
130198,GP    CVn *,122740.70 +513925.4,UGSU+EA,14.5,21.4,,*,,,,,DA+M,81153 81153,,0.000  0.000,1953.29,,A20,,GP    CVn,
592183,V2183 Oph,171520.55 -292920.3,M,16,21.4,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2183 Oph,
780401,V0401 Tau *,035425.03 +244243.7,UV,16,21.4,,U,,,,,,03924 10031,,,1999.902,,2MASS,,V0401 Tau,
780752,V0752 Tau *,034735.85 +245226.9,UV,16.5,21.4,,U,,,,,,08561 10031,,,1998.889,,2MASS,,V0752 Tau,
725634,V5634 Sgr *,180951.09 -194351.9,XP,20.8,21.36,,Ks,,,,,,80498 80499,,-0.019,2006.42,,Lit.,,V5634 Sgr,
120071,AR    Cnc *,092207.57 +310314.7,UG+E,15.3,21.3,,V,,,0.2146,,pec(UG)+M4-5.5,N0325 72085,,,1955.229,,A2.0,UG+E,AR    Cnc,
780334,QZ    Tau *,034745.91 +243801.5,UV,13.2,21.2,,U,,,,,,05607 10031,,,1998.889,,2MASS,,QZ    Tau,
830319,PU    UMa *,090103.93 +480911.8,UG+EA,16.2,21.2,,*,53773.4875,,0.0778805,10,pec(UG),80030 80027,,,1954.18,,A2.0,,PU    UMa,
430100,BW    Hyi,034515.29 -715616.7,RRAB,18.78,21.12,,B,,,,,,72082 72082,,,1980.379,,A2.0,,BW    Hyi,
592180,V2180 Oph,171509.61 -292734.9,M,16.4,21.1,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2180 Oph,
790379,V0379 Tel *,192832.48 -500134.4,E+AM,17.3,21.05,,V,52879.2813,,0.0701623,,wd+M,80523 80374,,,2000.775,,2MASS,E+AM,V0379 Tel,
601246,V1246 Ori,053714.88 -061939.8,UVN,16.5,21,,p,,,,,,71047 71045,,,1998.221,,2MASS,,V1246 Ori,
780324,PZ    Tau *,034654.60 +245910.3,UV,17,21,,U,,,,,,05610 10031,,,2000.732,,2MASS,,PZ    Tau,
800039,UZ    Tri,015824.66 +333131.0,N,>14.2,21,,p,,,,,,69005 69005,,,1976,?,B1.0,,UZ    Tri,
110528,V0528 Cam,034450.76 +683752.5,UG,14.9,21,,*,,,,,pec,81062 81062,,0.000  0.000,1993.733,,G23,,V0528 Cam,
250184,FU    Com,123051.49 +270709.9,UG,19.5,21,,p,,,,,,05378 USNO,,,1950.276,,A2.0,,FU    Com,
250188,FY    Com,124916.0  +272522. ,UG,19.5,21,,p,,,,,,5378,,,,?,Lit.,,FY    Com,
312659,V2659 Cyg,202142.33 +310329.5,NB,9.5,21,,V,56756,2014,,,pec(Nova),81199,,0.000  0.000,2014.25,,Lit.,,V2659 Cyg,
780854,V0854 Tau,034527.51 +233757.3,UV,16.7,21,,U,,,,,,68240 68241,,,1998.859,,2MASS,,V0854 Tau,
40152,EH    Aqr,233406.01 -224842.9,UG,17.5,21,,p,,,,,,04037 76005,,,,,Lit.,UG,EH    Aqr,
311712,V1712 Cyg,205624.1  +431712. ,UVN,17.3,21,,U,,,,,,08511 73138,,,,,GCVS,,V1712 Cyg,
311756,V1756 Cyg,203625.61 +400113.8,UV,15.6,21,,U,,,,,,08759 2MASS,,,1998.481,,2MASS,,V1756 Cyg,
311757,V1757 Cyg,203616.45 +404718.9,UV,16.2,21,,U,,,,,,08759 2MASS,,,1998.481,,2MASS,,V1757 Cyg,
312466,V2466 Cyg,220241.84 +463906.9,UGSU,15.7,21,,B,,,,,,78297 78297,,,1974.692,,Lit.,,V2466 Cyg,
592335,V2335 Oph,180417.26 +044344.2,UG,15,21,,B,,,,,,73223 73223,,,1976.5,,Lit.,,V2335 Oph,
601052,V1052 Ori *,054205.10 -051108.1,UV,14,21,,U,,,,,,08425 USNO,,,1955.88,,A2.0,,V1052 Ori,
601100,V1100 Ori,053211.96 -044316.0,UVN,16.2,21,,p,,,,,,67146 67146,,,1955.88,,A2.0,,V1100 Ori,
601112,V1112 Ori,053333.76 -062554.1,UVN,16.4,21,,p,,,,,,67145 67145,,,1955.88,,A2.0,,V1112 Ori,
601141,V1141 Ori,053738.89 -065253.2,UVN,16.5,21,,p,,,,,,67145 67145,,,1998.246,,2MASS,,V1141 Ori,
