NNo,GCVS,J2000.0,Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
400758,V0758 Her,171413.94 +440725.3,IA,18.9,20.1,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0758 Her,
400760,V0760 Her,171721.30 +422428.3,IA,19.2,20.1,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0760 Her,
400764,V0764 Her,172004.84 +414743.9,IA,18.7,20.1,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0764 Her,
490283,MU    Lib,145637.85 -005623.0,RRAB,18.7,20.1,,V,51618.7483,,0.568229,13,,80159 USNO,,,1957.323,,A2.0,,MU    Lib,
490308,OU    Lib,151008.94 -005829.3,RRAB,18.7,20.1,,V,51612.8382,,0.480064,11,,80159 USNO,,,1955.3,,A2.0,,OU    Lib,
490362,V0362 Lib,144341.90 -175549.5,UGSU,13.6,20.1,,CV,,,,,,81181 USNO,,0.000  0.000,1994.186,,G23,,V0362 Lib,
520767,V0767 Lyr,191357.68 +404508.9,EW,19.47,20.1,20.04,*,55275.5533,,0.23632,,,81247 81247,,,1951.672,,A20,,V0767 Lyr,
530047,WY    Men *,043233.72 -835355.3,RRC,19.6,20.1,,B,42402.871,,0.36218,45,,07982 07982,,,1983.409,,A2.0,,WY    Men,
592189,V2189 Oph,171548.27 -285735.0,RRAB,18.4,20.1,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2189 Oph,
592200,V2200 Oph,171630.42 -294555.2,RRAB,18.2,20.1,,B,,,,,,67120 67120,,,1986.342,,GCVS,,V2200 Oph,
601186,V1186 Ori,053809.35 -064145.3,UVN,15.9,20.1,,p,,,,,,68178 68178,,,1955.88,,A2.0,,V1186 Ori,
760453,V0453 Ser,153452.69 -014016.8,RRAB,19.2,20.1,,V,51612.8728,,0.540028,11,,80159 USNO,,,1950.462,,A2.0,,V0453 Ser,
760481,V0481 Ser,155117.05 -013705.7,RRAB,18.9,20.1,,V,51999.9187,,0.496769,13,,80159 G2.3,,,1992.426,,GSC2.3,,V0481 Ser,
780319,PU    Tau *,034650.08 +233156.4,UV,16,20.1,,U,,,,,,05520 10031,,,1998.881,,2MASS,,PU    Tau,
780742,V0742 Tau *,034433.06 +254509.8,UV,14.1,20.1,,U,,,,,,10031 10031,,,1999.902,,2MASS,,V0742 Tau,
780791,V0791 Tau *,034733.05 +253818.7,UV,16.5,20.1,,p,,,,,,08794 10031,,,1998.889,,2MASS,,V0791 Tau,
860595,V0595 Vir,144550.20 -021349.6,RRAB,18.6,20.1,,V,51236.8331,,0.50238,15,,80159 USNO,,,1957.323,,A2.0,,V0595 Vir,
850386,V0386 Vel,083545.09 -403720.6,IN,19.66,20.07,,V,,,,,,77072 77072,,,1999.157,,2MASS,,V0386 Vel,
430101,BX    Hyi,034516.44 -715537.2,RRC,19.1,20.06,,B,,,,,,72082 72082,,,1980.379,,A2.0,,BX    Hyi,
10744,V0744 And *,012940.06 +384210.5,AM,15.13,20.05,,g,,,,,pec(e),81037,,0.001  0.005,2000,,SDSS,,V0744 And,
850511,V0511 Vel *,101832.05 -463732.7,EW,19.61,20.03,20,V,,,0.33248,,,80329 80329,,,1980.127,,A2.0,,V0511 Vel,
520515,V0515 Lyr,192033.37 +374816.3,EA,19.45,20.02,,V,,,,,,73191 73191,,,1988.523,,GCVS,,V0515 Lyr,
700033,TZ    Ret,043702.11 -590352.8,RRAB,18.31,20.01,,B,,,,,,73278 73278,,,1983.04,,A2.0,,TZ    Ret,
