NNo,GCVS,RA,Dec,RA (hourangle),Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS
780609,V0609 Tau *,55.4605833,22.9215833,3.69737222,UV,15.8,21,,p,,,,,,06893 10031,,,1998.752,,2MASS,,V0609 Tau
780256,KW    Tau *,55.0403333,23.1757778,3.669355553,UV,14.1,20.7,,U,,,,,,05606 10031,,,1998.752,,2MASS,,KW    Tau
780276,MN    Tau *,55.902375,23.2095278,3.726825,UV,15.3,20.6,,U,,,,,,03924 10031,,-0.023,2000,,2MASS+pm,,MN    Tau
780732,V0732 Tau *,54.63625,23.4020556,3.642416667,UV,16.2,21,,p,,,,,,08554 10031,,,1998.752,,2MASS,,V0732 Tau
780757,V0757 Tau *,57.1358333,23.4416667,3.809055553,UV,18.5,21,,p,,,,,,08554 10031,,,,?,Lit.,,V0757 Tau
780302,OO    Tau *,56.305875,23.5169167,3.753725,UV,14.1,20.2,,U,,,,,,05606 10031,,,1998.859,,2MASS,,OO    Tau
780345,V0345 Tau *,57.08575,23.5171389,3.805716667,UV,15,22,,U,,,,,,05606 10031,,,1997.824,,2MASS,,V0345 Tau
780319,PU    Tau *,56.7086667,23.5323333,3.78057778,UV,16,20.1,,U,,,,,,05520 10031,,,1998.881,,2MASS,,PU    Tau
780510,V0510 Tau *,55.8272083,23.5692222,3.721813887,UV,14.2,20.5,,U,,,,,,06397 10031,,,1998.752,,2MASS,,V0510 Tau
780804,V0804 Tau *,58.354,23.6308333,3.890266667,UV,15.3,21,,U,,,,,,08794 10031,,,1973.3,?,B1.0,,V0804 Tau
780854,V0854 Tau,56.364625,23.6325833,3.757641667,UV,16.7,21,,U,,,,,,68240 68241,,,1998.859,,2MASS,,V0854 Tau
460228,IK    Leo *,155.4435417,23.8243611,10.36290278,UGSU,13.9,21,,V,,,,,pec(UG),80331 80331,,,1990.012,,GSC2.3,,IK    Leo
780489,V0489 Tau *,54.9279583,23.90775,3.661863887,UV,14.2,20.5,,U,,,,,,10031 06395,,,1998.752,,2MASS,,V0489 Tau
780763,V0763 Tau *,57.7423333,23.9285833,3.849488887,UV,14.4,20.5,,U,,,,,,08564 10031,,,1997.824,,2MASS,,V0763 Tau
780298,NW    Tau *,56.1971667,24.0105278,3.74647778,UV,17.5,20.2,,U,,,,,M,03924 10031,,,1999.962,,2MASS,,NW    Tau
780528,V0528 Tau *,56.59775,24.0309444,3.773183333,UV,13.3,20.5,,U,,,,,,06397 10031,,,1998.889,,2MASS,,V0528 Tau
780795,V0795 Tau *,57.1332917,24.0800278,3.808886113,UV,14.5,20.5,,U,,,,,,08796 10031,,0.263,2000,,Lit.,,V0795 Tau
780327,QS    Tau *,56.7959167,24.2310278,3.786394447,UV,14,22,,U,,,,,,05607 10031,,,2000.732,,2MASS,,QS    Tau
780847,V0847 Tau,55.965625,24.2378056,3.731041667,UV,15,20.4,,p,,,,,,68239 68236,,,2000.732,,2MASS,,V0847 Tau
780301,NZ    Tau *,56.30475,24.2566111,3.75365,UV,15.8,21.6,,U,,,,,,05606 10031,,,1999.962,,2MASS,,NZ    Tau
780356,V0356 Tau *,57.2959583,24.3476111,3.819730553,UV,13.1,20.2,,U,,,,,M3,10031 07328,,,2000.023,,2MASS,,V0356 Tau
780669,V0669 Tau *,57.507,24.6135,3.8338,UV,13.5,22,,U,,,,,,07486 06894,,,1997.882,,2MASS,,V0669 Tau
780463,V0463 Tau *,57.1889583,24.6240278,3.81259722,UV,14.8,20.5,,p,,,,,,05928 10031,,,1997.882,,2MASS,,V0463 Tau
780334,QZ    Tau *,56.9412917,24.63375,3.796086113,UV,13.2,21.2,,U,,,,,,05607 10031,,,1998.889,,2MASS,,QZ    Tau
780401,V0401 Tau *,58.6042917,24.7121389,3.90695278,UV,16,21.4,,U,,,,,,03924 10031,,,1999.902,,2MASS,,V0401 Tau
780611,V0611 Tau *,55.63,24.8226667,3.708666667,UV,16.3,20.5,,p,,,,,,06893 10031,,,1999.842,,2MASS,,V0611 Tau
780792,V0792 Tau *,56.8958333,24.8536111,3.793055553,UV,13.4,20.5,,U,,,,,,8796,,,,,,,V0792 Tau
780752,V0752 Tau *,56.899375,24.8741389,3.793291667,UV,16.5,21.4,,U,,,,,,08561 10031,,,1998.889,,2MASS,,V0752 Tau
780324,PZ    Tau *,56.7275,24.9861944,3.781833333,UV,17,21,,U,,,,,,05610 10031,,,2000.732,,2MASS,,PZ    Tau
780397,V0397 Tau *,58.3520417,25.0353333,3.890136113,UV,16.6,21.6,,U,,,,,,03924 10031,,,1999.987,,2MASS,,V0397 Tau
780522,V0522 Tau *,56.3526667,25.0440556,3.756844447,UV,15.3,21,,U,,,,,,06397 10031,,,1999.962,,2MASS,,V0522 Tau
250215,HO    Com *,184.8791667,25.2225,12.32527778,UV,16.2,21,,p,,,,,,8397,,,,,,,HO    Com
780445,V0445 Tau *,56.5286667,25.2458611,3.76857778,UV,14.5,21,,p,,,,,,10031 10031,,,1999.962,,2MASS,,V0445 Tau
781212,V1212 Tau *,57.987375,25.4246111,3.865825,UGSU,15.3,21.5,,B,,,,,,77033 77033,,,1986.845,,GCVS,,V1212 Tau
780390,V0390 Tau *,58.033125,25.4652222,3.868875,UV,16.5,22.5,,U,,,,,,05520 10031,,,1998.763,,2MASS,,V0390 Tau
780791,V0791 Tau *,56.8877083,25.6385278,3.792513887,UV,16.5,20.1,,p,,,,,,08794 10031,,,1998.889,,2MASS,,V0791 Tau
780742,V0742 Tau *,56.13775,25.7527222,3.742516667,UV,14.1,20.1,,U,,,,,,10031 10031,,,1999.902,,2MASS,,V0742 Tau
270036,UW    CrB,241.441125,25.8627222,16.096075,X+E,18.87,20.1,,R,,,,,,71136 71137,,,1950.369,,A2.0,,UW    CrB
250219,HS    Com *,186.6,25.89,12.44,UV,15.5,21,,p,,,,,,8397,,,,,,,HS    Com
780619,V0619 Tau *,55.8591667,26.0419167,3.723944447,UV,15.5,20.7,,p,,,,,,10031 10031,,,1999.899,,2MASS,,V0619 Tau
780252,KS    Tau *,55.0454583,26.1113889,3.66969722,UV,14.4,20.9,,U,,,,,,05606 10031,,,1999.861,,2MASS,,KS    Tau
250184,FU    Com,187.7145417,27.1194167,12.51430278,UG,19.5,21,,p,,,,,,05378 USNO,,,1950.276,,A2.0,,FU    Com
250188,FY    Com,192.3166667,27.4227778,12.82111111,UG,19.5,21,,p,,,,,,5378,,,,?,Lit.,,FY    Com
250179,FP    Com *,186.8299583,27.6000833,12.45533055,UV,15.5,21,,p,,,,,,05378 2MASS,,-0.133,2000,,2MASS+pm,,FP    Com
250192,GI    Com,188.402125,28.1114722,12.56014167,UV,14.1,20.5,,p,,,,,,06337 06337,,,1950.276,,A2.0,,GI    Com
250186,FW    Com,190.8125,28.2930556,12.72083333,RR,19,20.2,,p,,,,,,5378,,,,,,,FW    Com
620370,V0370 Peg,358.663125,28.3816944,23.910875,UG,16.3,21,,R,,,,,,75208 75303,,,1993.645,,GCVS,,V0370 Peg
800096,BS    Tri,32.37425,28.5415,2.158283333,E+XM,17,21.5,,V,53666.543,,0.06685,6,pec(e),80108 80108,,,1997.846,,2MASS,,BS    Tri
830106,CE    UMa *,169.0458333,29.3605556,11.26972222,UG,15.5,21,,p,,,,,,5940,,,,,,,CE    UMa
250183,FT    Com,187.6958333,29.3741667,12.51305555,RR,19.5,20.2,,p,,,,,,5378,,,,,,,FT    Com
250187,FX    Com,191.1125,29.66,12.74083333,RR,19.7,20.5,,p,,,,,,5378,,,,,,,FX    Com
401247,V1247 Her,257.937875,30.22225,17.19585833,NL,21.44,21.67,,*,,,0.05579861,,,80030 80027,,,1950.462,,A2.0,,V1247 Her
120071,AR    Cnc *,140.5315417,31.0540833,9.368769447,UG+E,15.3,21.3,,V,,,0.2146,,pec(UG)+M4-5.5,N0325 72085,,,1955.229,,A2.0,UG+E,AR    Cnc
