,id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,u,g,r,i,z
2285,11261598012809415285,215.58775,-0.39381,SN,0,0.340018276431368,0.0,15.4,21.90191,21.61129,21.155179999999998,21.0079,22.8269
2288,73991263257137439686,359.50583,-0.73756,SN,1,0.0068267505180242,0.264839,22.8,23.133029999999998,21.2676,20.19524,19.75284,19.44663
2293,61539174259158986131,13.9695,0.5049399999999999,SN,0,0.0215822257404295,0.0,19.8,23.4063,22.85229,23.77328,22.75464,22.40723
2296,64535454783460411680,225.96099999999998,42.11347,SN,1,0.0057854624787224,-9999.0,17.7,18.25391,19.880329999999997,20.64322,24.36409,22.80471
2302,5396818722860161453,47.88837,-0.74631,SN,1,0.0567459206164861,-9999.0,18.8,18.06415,18.07154,17.702560000000002,17.60437,25.09832
2303,38760604341651882105,4.18421,7.07217,SN,0,0.0455379645382647,0.0,16.2,21.6128,22.13504,24.802020000000002,24.3618,22.82689
2308,96893178962390862100,35.38779,-0.37492,SN,1,0.18675339147325698,0.19303299999999998,22.5,23.24469,22.19135,21.90005,22.3946,21.34692
2321,54356126746337413430,1.4519600000000001,27.45267,SN,0,0.0588256649639858,0.0,17.2,24.07554,22.877979999999997,23.21428,22.73495,22.464029999999998
2325,57175772301564248244,15.73475,0.18311,SN,1,0.00626085018046475,0.275567,21.7,24.03492,21.36195,20.16688,19.78518,19.61383
2330,38708845026228221263,28.49525,-0.09267,SN,1,0.0566052394480748,0.07578,22.5,18.71754,17.23089,16.49052,16.09945,15.83262
2334,23057586664456118483,202.14171000000002,41.85228,SN,1,0.0018624812167282899,0.046688,17.4,17.71245,16.05046,15.33704,14.979320000000001,14.71502
2335,14062334320591625241,126.7765,21.646,SN,1,0.102500097463327,0.028923,17.0,16.20721,14.29599,13.437120000000002,13.02341,12.71317
2351,58813578396402108049,325.26571,0.14256,SN,1,0.0065037828375897,0.18825699999999998,21.5,21.39172,19.11311,17.81726,17.32325,16.955189999999998
2357,7583908067946209682,16.44446,-0.75883,SN,1,0.0755137514177433,0.08104199999999999,21.1,20.46433,18.58425,17.701829999999998,17.28319,16.9806
2365,12797887914250118687,7.97275,0.13831,SN,0,0.0199943507545614,0.0,21.8,22.22162,24.871389999999998,24.86681,24.57372,23.461660000000002
2374,13997490775376427688,20.87017,30.779359999999997,SN,1,0.023589355629572,0.810409,18.6,21.46246,21.421039999999998,22.20447,21.72491,21.56235
2378,62614194687575202746,319.3955,-0.5239699999999999,SN,1,0.0008066107906156889,0.24515100000000004,23.0,23.11572,20.81311,19.53461,19.03748,18.58744
2387,89838513135709722916,53.68516999999999,0.35553,SN,1,0.013127034961458,0.148343,20.4,20.542920000000002,18.94192,17.89386,17.42649,17.03643
2390,60310197533170407872,235.37429,15.786970000000002,SN,1,0.0299837189189997,0.11658099999999999,17.7,16.492729999999998,15.89955,16.03555,17.42175,17.18422
2393,58257979008053965086,57.261869999999995,-0.53278,SN,1,0.0156160990322311,0.114712,21.6,25.41177,21.48691,20.90805,20.58087,20.42462
2396,76580306963871671031,27.58417,-0.40381,SN,1,0.00710260428960268,0.080609,20.0,18.66064,17.57581,17.04941,16.70978,16.48956
2398,36001112310307663774,116.65637,44.78947,SN,1,0.0704818267173524,0.01709,16.9,15.779810000000001,14.089620000000002,13.24351,12.81287,12.49038
2404,6255000911912978261,328.7095,0.9336700000000001,SN,0,0.0777408590178817,0.0,21.7,23.57164,24.55132,24.16456,22.29727,22.03679
2409,40429566978096168205,353.59979,-0.89033,SN,1,0.037419903244762,0.105879,19.9,19.27806,17.4284,16.427670000000003,15.884220000000001,15.55444
2411,57973186440354260448,46.64096,0.7933100000000001,SN,1,0.0535279649942176,0.179555,21.1,21.343629999999997,19.715989999999998,18.6827,18.08107,17.76492
2417,28596108477943470095,313.9895,-5.698580000000001,SN,0,0.0793254748967917,0.0,18.5,23.35511,20.934639999999998,19.565920000000002,18.19025,17.47839
2419,69520465779631270655,206.21125,-0.06342,SN,0,0.0118350158805761,0.0,22.7,23.95591,23.34873,22.51974,21.81638,20.752670000000002
2421,73691793079368069757,20.29808,-0.91922,SN,1,0.0289835900499821,0.192074,21.3,22.15689,20.45625,19.49373,18.985020000000002,18.67879
2426,16280000653900756076,52.704330000000006,-1.23811,SN,1,0.0348754408808567,0.10884500000000001,20.9,20.86235,19.55595,18.99708,18.62181,18.45584
2428,47661141339889813509,230.28807999999998,2.44064,SN,1,0.0727839460044088,0.10669400000000001,19.5,20.02601,19.017429999999997,18.57212,18.25538,18.126070000000002
2430,47087524591459346358,28.813670000000002,0.6431100000000001,SN,1,0.178482969712428,-9999.0,22.1,24.00384,23.647389999999998,22.032429999999998,23.14695,23.27821
