,id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
1919,83765575240370724840,312.22104,0.19111,SN,TNS,1,0.0310424028652071,0.10949400000000001,18.9,20.87415,20.3334,20.115879999999997,19.91747,20.33418
1923,15885895116307513529,319.07167000000004,0.5595,SN,TNS,1,0.0009160539489669509,0.192483,21.1,22.604129999999998,21.69783,21.23801,21.04024,20.73646
1929,71765634701068651576,178.91121,44.383720000000004,SN,TNS,1,0.0690221385194841,0.040138,17.2,18.855320000000003,17.61441,17.284779999999998,17.08236,17.026970000000002
1939,42674629609010163140,351.95237000000003,14.47417,SN,TNS,1,0.0808547480912964,0.05429400000000001,16.6,17.89584,15.96529,15.02542,14.56758,14.19694
1942,77650874471507820785,359.80846,-0.31103000000000003,SN,TNS,1,0.0135219467467345,0.09098300000000001,22.6,19.73408,18.714489999999998,18.2698,17.95433,17.74086
1956,86956511186633764949,167.47187,37.00178,SN,TNS,0,0.0109091869618596,0.0,18.0,22.64827,23.58885,23.76225,24.53264,23.13019
1958,95886361658664316219,359.21821,5.508830000000001,SN,TNS,1,0.0380669509461597,0.330594,15.7,21.75216,20.98489,20.11692,19.671120000000002,19.592979999999997
1960,31261345838573493283,16.86808,-0.26936,SN,TNS,1,0.00157613928201925,0.20495500000000003,21.8,22.37902,20.68926,19.78162,19.4001,19.078789999999998
1967,5344863400061929413,338.98521,20.32142,SN,TNS,1,0.0543703298389581,0.020982,17.4,14.704920000000001,13.676260000000001,13.15363,12.87355,12.62843
1969,83504292349131515349,35.39875,-5.53083,SN,TNS,1,0.0644090318076092,0.686829,16.7,22.440479999999997,22.73688,21.6373,22.1564,22.63269
1983,70435237523248880703,221.94929,23.29961,SN,TNS,1,0.0472667736693732,-9999.0,19.1,24.45619,22.90744,22.55914,22.746570000000002,20.97664
1996,4820797137305455180,334.86383,0.49441999999999997,SN,TNS,1,0.0159376062462328,0.287224,21.1,22.26965,21.199379999999998,20.49996,20.2373,19.49674
1999,78176980283880458940,182.48762,47.09553,SN,TNS,1,0.0614220244789249,0.043224,17.0,17.50049,15.81078,15.02075,14.6307,14.34646
2000,97950529079973216514,40.3025,-0.87944,SN,TNS,1,0.0944201008928226,0.34871199999999997,17.2,24.070529999999998,21.593510000000002,20.06171,19.45008,19.04952
2006,5849346730310173044,328.59467,15.1605,SN,TNS,1,0.0360922620189702,-9999.0,16.6,24.030620000000003,22.39483,22.49174,24.3618,22.82689
2009,80148464699967353435,309.20279,0.09844,SN,TNS,1,0.0152826079535252,0.115004,20.2,19.992379999999997,18.53547,17.74139,17.29397,16.9969
2024,44032420107661535255,201.10458,30.95631,SN,TNS,0,0.0764750064454561,0.0,17.3,21.99861,22.40354,24.80203,24.3618,22.8269
2026,8645823127894623106,18.76008,0.26192,SN,TNS,0,0.00639476760338276,0.0,19.3,21.985429999999997,19.850720000000003,18.7253,18.84395,18.95815
2028,6888758858390968407,47.12358,0.88894,SN,TNS,1,0.00058837786909348,0.6200399999999999,22.1,21.87771,21.72779,21.29221,20.90288,20.94451
2029,26552721231878234064,24.90033,-0.75875,SN,TNS,1,0.0520080800174022,0.158487,21.1,20.4617,18.5233,17.34133,16.84329,16.458029999999997
2031,58498079393854878453,356.17183,-0.030080000000000003,SN,TNS,1,0.00188553052089147,0.21056100000000003,20.4,21.15485,20.15727,19.42134,19.071920000000002,18.835279999999997
2035,13547354747948839446,16.20279,-0.89597,SN,TNS,1,0.0072839511372396705,0.096477,21.1,22.75616,19.8956,19.16958,18.910220000000002,19.39752
2036,14172043883768187462,347.83712,-0.60864,SN,TNS,1,0.03685765024965,0.275471,22.8,22.39524,20.8087,19.769660000000002,19.45501,18.95851
2038,23668954714150558797,46.79571,1.11956,SN,TNS,1,0.0280603022333889,0.137531,21.4,21.49257,19.39473,18.296879999999998,17.83031,17.47855
2039,39304423099472295035,287.88083,77.89311,SN,TNS,0,0.0174176334615279,0.0,18.0,20.17665,18.80404,18.5987,19.05556,19.53943
2046,32598176009198323704,7.7215,-0.71883,SN,TNS,0,0.00291753074668482,0.0,21.8,23.73725,22.43535,21.8978,22.10134,20.81597
2047,46933347939813540839,34.27292,0.28031,SN,TNS,1,0.0411235766680587,0.324343,20.9,20.82949,20.093729999999997,19.01834,18.52145,18.18623
2056,6562316986059292565,357.52092000000005,-0.9213899999999999,SN,TNS,1,0.013069961627108,0.461685,22.6,22.52582,21.693089999999998,20.4151,19.75959,19.33205
2057,57708089065390039657,320.07275,-1.68408,SN,TNS,1,0.0336889487085241,0.025476,16.6,16.69943,14.89744,13.9375,13.431,12.95027
2070,95877440616837804795,197.41842,-1.04922,SN,TNS,0,0.0145645303769807,0.0,17.4,21.92935,21.518639999999998,21.373279999999998,21.51387,21.13798
