"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"1030","SN 1995av","02:01:36.75","+03:38:55.21","SN II","","Anon.           ","","","","","","","","0","1","","20.1","","1995-11-20 00:00:00","",""
"1029","SN 1995au","01:18:32.60","+07:54:03.49","SN I","","Anon.           ","","","","","","","","0","1","","20.7","","1995-10-29 00:00:00","",""
"1028","SN 1995at","01:04:50.94","+04:33:52.99","SN I","","Anon.           ","","","","","","","","0","1","","22.7","","1995-11-20 00:00:00","",""
"1027","SN 1995as","01:01:35.30","+04:26:14.78","SN I","","Anon.           ","","","","","","","","0","1","","23.3","","1995-11-19 00:00:00","",""
"1026","SN 1995ar","01:01:20.41","+04:18:33.80","SN I","","Anon.           ","","","","","","","","0","1","","23.1","","1995-11-19 00:00:00","",""
"1025","SN 1995aq","00:29:04.26","+07:51:20.02","SN I","","Anon.           ","","","","","","","","0","1","","22.4","","1995-11-19 00:00:00","",""
"1024","SN 1995ap","03:12:28.13","+00:41:43.40","SN Ia","","Anon.           ","","","","","","","","0","1","","21.5","","1995-11-18 00:00:00","",""
"1023","SN 1995ao","02:57:30.70","-01:41:19.79","SN Ia","","Anon.           ","","","","","","","","0","1","","21.5","","1995-11-18 00:00:00","",""
"1022","SN 1995an","04:51:48.54","+08:50:39.70","SN II","","UGC 3188        ","","","","","","","","0","1","","17.5","","1995-10-27 00:00:00","",""
"1021","SN 1995am","00:00:00.00","+00:00:00.00","SN Ia","","Anon.           ","","","","","","","","0","1","","15","","1995-10-22 00:00:00","",""
"1020","SN 1995al","09:50:55.97","+33:33:09.40","SN Ia","","NGC 3021        ","","","","","","","","0","1","","13","","1995-11-01 00:00:00","",""
"1019","SN 1995ak","02:45:48.83","+03:13:50.09","SN Ia","","IC 1844         ","","","","","","","","0","1","","16.4","","1995-10-27 00:00:00","",""
"1018","SN 1995aj","02:28:36.64","+41:56:01.90","SN Ia","","Anon.           ","","","","","","","","0","1","","20","","1995-09-29 00:00:00","",""
"1017","SN 1995ai","23:58:33.06","+10:43:23.92","SN II","","NGC 7794        ","","","","","","","","0","1","","18.3","","1995-10-23 00:00:00","",""
"1016","SN 1995ah","00:00:00.00","+00:00:00.00","SN II","","Anon.           ","","","","","","","","0","1","","17.6","","1995-02-02 00:00:00","",""
"1015","SN 1995ag","21:56:19.38","+73:15:13.61","SN II","","UGC 11861       ","","","","","","","","0","1","","17","","1995-09-28 00:00:00","",""
"1014"," 1995af","23:24:53.45","+41:24:11.48","","","Anon.           ","","","","","","","","0","1","","18","","1995-09-01 00:00:00","",""
"1013","SN 1995ae","23:16:55.65","-02:04:36.41","SN Ia","","Anon.           ","","","","","","","","0","1","","18.5","","1995-09-22 00:00:00","",""
"1012","SN 1995ad","06:01:06.13","-23:40:28.99","SN II","","NGC 2139        ","","","","","","","","0","1","","14","","1995-09-28 00:00:00","",""
"1011","SN 1995ac","22:45:34.14","-08:45:04.72","SN Ia","","Anon.           ","","","","","","","","0","1","","18.5","","1995-09-22 00:00:00","",""
"1010","SN 1995ab","23:26:44.46","-04:57:45.90","SN II","","NGC 7663        ","","","","","","","","0","1","","17.7","","1995-09-22 00:00:00","",""
"1009","SN 1995aa","22:59:09.73","-04:30:57.31","SN IIn","","Anon.           ","","","","","","","","0","1","","19.8","","1995-09-02 00:00:00","",""
"1065","SN 1995Z","01:23:38.35","+32:37:53.11","SN II","","UGC 937         ","","","","","","","","0","1","","18.5","","1995-08-28 00:00:00","",""
"1064","SN 1995Y","01:10:59.60","+33:08:40.70","SN I","","NGC 410         ","","","","","","","","0","1","","18","","1995-08-28 00:00:00","",""
"1063","SN 1995X","00:00:00.00","+00:00:00.00","SN II","","UGC 12160       ","","","","","","","","0","1","","18","","1995-08-03 00:00:00","",""
"1062","SN 1995W","00:00:00.00","+00:00:00.00","SN II","","NGC 7650        ","","","","","","","","0","1","","16","","1995-08-05 00:00:00","",""
"1061","SN 1995V","02:46:26.77","-00:29:55.61","SN II","","NGC 1087        ","","","","","","","","0","1","","15","","1995-08-01 00:00:00","",""
"1060","SN 1995U","20:54:40.62","-51:22:26.80","SN Ia","","ESO 235-IG13    ","","","","","","","","0","1","","18","","1995-07-29 00:00:00","",""
"1059","SN 1995T","22:27:12.41","-09:29:44.41","SN Ia","","Anon.           ","","","","","","","","0","1","","18","","1995-07-25 00:00:00","",""
"1058"," 1995S","12:27:53.30","-30:05:55.39","","","NGC 4456        ","","","","","","","","0","1","","17.5","","1995-07-03 00:00:00","",""
"1057","SN 1995R","13:53:32.60","-01:11:30.19","SN Ia","","UGC 8801        ","","","","","","","","0","1","","18","","1995-06-29 00:00:00","",""
"1056","SN 1995Q","20:16:29.51","-43:24:24.59","SN II","","Anon.           ","","","","","","","","0","1","","18","","1995-05-31 00:00:00","",""
"1055","SN 1995P","14:07:14.33","-02:43:32.70","SN Ia","","Anon.           ","","","","","","","","0","1","","18","","1995-05-06 00:00:00","",""
"1054"," 1995O","16:35:56.12","+66:11:44.02","","","Anon.           ","","","","","","","","0","1","","22","","1995-05-03 00:00:00","",""
"1053","SN 1995N","14:49:28.27","-10:10:15.38","SN IIn","","MCG -02-38-17   ","","","","","","","","0","1","","17.5","","1995-05-05 00:00:00","",""
"1052","SN 1995M","09:38:41.78","-12:20:07.91","SN Ia","","Anon.           ","","","","","","","","0","1","","18.5","","1995-04-22 00:00:00","",""
"1051","SN 1995L","13:27:18.34","+32:01:52.72","SN Ia","","NGC 5157        ","","","","","","","","0","1","","20","","1995-03-26 00:00:00","",""
"1050","SN 1995K","10:50:47.00","-09:15:07.42","SN Ia","","Anon.           ","","","","","","","","0","1","","22.5","","1995-03-30 00:00:00","",""
"1049","SN 1995J","12:32:38.34","+63:53:09.20","SN II","","NGC 4512        ","","","","","","","","0","1","","16.5","","1995-04-04 00:00:00","",""
"1048","SN 1995I","13:20:59.85","+03:35:56.18","SN II","","Anon.           ","","","","","","","","0","1","","19.5","","1995-02-28 00:00:00","",""
"1047","SN 1995H","11:06:55.42","+07:10:19.60","SN II","","NGC 3526        ","","","","","","","","0","1","","16","","1995-02-24 00:00:00","",""
"1046","SN 1995G","04:43:44.22","-05:18:53.78","SN IIP","","NGC 1643        ","","","","","","","","0","1","","15.5","","1995-02-23 00:00:00","",""
"1045","SN 1995F","09:04:57.40","+59:55:58.69","SN Ic","","NGC 2726        ","","","","","","","","0","1","","14.7","","1995-02-10 00:00:00","",""
"1044","SN 1995E","07:51:56.75","+73:00:34.60","SN Ia","","NGC 2441        ","","","","","","","","0","1","","15","","1995-02-20 00:00:00","",""
"1043","SN 1995D","09:40:54.75","+05:08:26.20","SN Ia","","NGC 2962        ","","","","","","","","0","1","","14","","1995-02-10 00:00:00","",""
"1042","SN 1995C","12:04:02.52","-31:36:02.30","SN Ia","","Anon.           ","","","","","","","","0","1","","17.5","","1995-02-08 00:00:00","",""
"1035","SN 1995B","07:17:33.82","+21:49:25.00","SN II","","Anon.           ","","","","","","","","0","1","","19","","1995-01-06 00:00:00","",""
"1008","SN 1995A","06:50:04.63","+26:22:50.99","SN Ia","","MCG +04-16-6    ","","","","","","","","0","1","","18","","1995-01-02 00:00:00","",""
"982"," 1994ao","16:04:23.30","+43:03:56.02","","","Anon.           ","","","","","","","","0","1","","28.1","","1994-02-25 00:00:00","",""
"981","SN 1994an","22:44:18.87","+00:06:48.71","SN Ia","","Anon.           ","","","","","","","","0","1","","22.3","","1994-10-31 00:00:00","",""
"980","SN 1994am","02:40:02.06","-01:37:14.92","SN Ia","","Anon.           ","","","","","","","","0","1","","21.7","","1994-02-04 00:00:00","",""
"979","SN 1994al","03:06:22.45","+17:18:33.70","SN Ia","","Anon.           ","","","","","","","","0","1","","22.6","","1994-01-08 00:00:00","",""
"978","SN 1994ak","09:14:01.47","+40:06:21.49","SN IIn","","NGC 2782        ","","","","","","","","0","1","","16.3","","1994-12-24 00:00:00","",""
"977","SN 1994aj","09:06:11.25","-10:40:00.01","SN II","","Anon.           ","","","","","","","","0","1","","18","","1994-12-12 00:00:00","",""
"976","SN 1994ai","02:23:06.17","-21:13:58.30","SN Ic","","NGC 908         ","","","","","","","","0","1","","17","","1994-12-20 00:00:00","",""
"975","SN 1994ah","02:56:37.75","-33:54:43.60","SN Ia","","ESO 356-G19     ","","","","","","","","0","1","","18","","1994-10-13 00:00:00","",""
"974"," 1994ag","03:53:30.54","-39:00:27.68","","","Anon.           ","","","","","","","","0","1","","17.5","","1994-11-11 00:00:00","",""
"973","SN 1994af","03:05:21.25","-12:11:19.21","SN II","","Anon.           ","","","","","","","","0","1","","18","","1994-11-27 00:00:00","",""
"972","SN 1994ae","10:47:01.95","+17:16:31.01","SN Ia","","NGC 3370        ","","","","","","","","0","1","","15.4","","1994-11-14 00:00:00","",""
"971","SN 1994ad","01:49:27.86","-56:02:38.00","SN II","","ESO 152-G26     ","","","","","","","","0","1","","18","","1994-11-10 00:00:00","",""
"970","SN 1994ac","23:49:53.53","+02:42:10.19","SN II","","UGC 12799       ","","","","","","","","0","1","","18.5","","1994-09-11 00:00:00","",""
"969","SN 1994ab","21:16:56.75","-28:19:51.38","SN Ia","","MCG -05-50-8    ","","","","","","","","0","1","","17","","1994-09-17 00:00:00","",""
"968","SN 1994aa","03:24:49.40","-03:02:33.61","SN Ia","","NGC 1320        ","","","","","","","","0","1","","17","","1994-09-11 00:00:00","",""
"1007","SN 1994Z","00:21:16.60","-48:37:49.51","SN II","","NGC 87          ","","","","","","","","0","1","","14.6","","1994-10-02 00:00:00","",""
"1006","SN 1994Y","13:55:36.91","+40:27:53.60","SN IIn","","NGC 5371        ","","","","","","","","0","1","","15","","1994-08-19 00:00:00","",""
"1005","SN 1994X","00:17:52.16","-24:37:10.88","SN Ia","","Anon.           ","","","","","","","","0","1","","18.5","","1994-08-15 00:00:00","",""
"1004","SN 1994W","12:02:10.93","+62:08:32.78","SN IIP","","NGC 4041        ","","","","","","","","0","1","","13.5","","1994-07-29 00:00:00","",""
"1003"," 1994V","14:54:40.40","-17:24:42.59","","","MCG -03-38-25   ","","","","","","","","0","1","","17","","1994-07-14 00:00:00","",""
"1002","SN 1994U","13:04:56.13","-07:56:51.50","SN Ia","","NGC 4948        ","","","","","","","","0","1","","14","","1994-06-27 00:00:00","",""
"1001","SN 1994T","13:18:59.84","-02:09:01.58","SN Ia","","Anon.           ","","","","","","","","0","1","","16","","1994-06-11 00:00:00","",""
"1000","SN 1994S","12:31:21.86","+29:08:04.20","SN Ia","","NGC 4495        ","","","","","","","","0","1","","14.5","","1994-06-04 00:00:00","",""
"999","SN 1994R","00:00:00.00","+00:00:00.00","SN II","","IC 2627         ","","","","","","","","0","1","","16","","1994-06-03 00:00:00","",""
"998","SN 1994Q","16:49:51.14","+40:25:55.81","SN Ia","","Anon.           ","","","","","","","","0","1","","16.5","","1994-06-02 00:00:00","",""
"997","SN 1994P","11:59:21.07","+52:42:59.00","SN II","","UGC 6983        ","","","","","","","","0","1","","18.2","","1994-04-20 00:00:00","",""
"996","SN 1994O","13:41:10.98","+30:22:43.61","SN Ia","","Mkn  268        ","","","","","","","","0","1","","18.5","","1994-05-06 00:00:00","",""
"995","SN 1994N","00:00:00.00","+00:00:00.00","SN II","","UGC 5695        ","","","","","","","","0","1","","17.5","","1994-05-10 00:00:00","",""
"994","SN 1994M","12:31:08.61","+00:36:19.91","SN Ia","","NGC 4493        ","","","","","","","","0","1","","16","","1994-04-29 00:00:00","",""
"993","SN 1994L","00:00:00.00","+00:00:00.00","SN II","","NGC 2848        ","","","","","","","","0","1","","14.7","","1994-04-08 00:00:00","",""
"992","SN 1994K","10:00:24.61","+12:52:31.58","SN Ia","","Anon.           ","","","","","","","","0","1","","17.5","","1994-04-01 00:00:00","",""
"991","SN 1994J","10:01:36.76","+54:34:56.50","SN Ia","","Anon.           ","","","","","","","","0","1","","19","","1994-03-05 00:00:00","",""
"990","SN 1994I","13:29:54.01","+47:11:31.70","SN Ic","","NGC 5194        ","","","","","","","","0","1","","13.5","","1994-04-02 00:00:00","",""
"989","SN 1994H","02:40:04.73","-01:34:06.49","SN Ia","","Anon.           ","","","","","","","","0","1","","21.9","","1994-01-08 00:00:00","",""
"988","SN 1994G","10:19:26.68","+50:52:19.49","SN I","","Anon.           ","","","","","","","","0","1","","21.8","","1994-02-13 00:00:00","",""
"987","SN 1994F","11:49:59.54","+10:42:58.00","SN Ia","","Anon.           ","","","","","","","","0","1","","22","","1994-01-09 00:00:00","",""
"986","SN 1994E","11:32:06.96","+55:21:34.70","SN Ia","","Anon.           ","","","","","","","","0","1","","19","","1994-03-05 00:00:00","",""
"985","SN 1994D","12:34:02.45","+07:42:04.72","SN Ia","","NGC 4526        ","","","","","","","","0","1","","15.2","","1994-03-07 00:00:00","",""
"984","SN 1994C","07:56:40.27","+44:52:19.31","SN Ia","","Anon.           ","","","","","","","","0","1","","18","","1994-03-05 00:00:00","",""
"983","SN 1994B","08:20:40.92","+15:43:48.40","SN Ia","","Anon.           ","","","","","","","","0","1","","19","","1994-01-16 00:00:00","",""
"967","SN 1994A","00:00:00.00","+00:00:00.00","SN II","","UGC 8214        ","","","","","","","","0","1","","18","","1994-01-11 00:00:00","",""
"941"," 1993al","12:22:12.62","-01:08:24.50","","","Anon.           ","","","","","","","","0","1","","22.6","","1993-12-22 00:00:00","",""
"940"," 1993ak","13:43:10.96","+30:20:12.52","","","UGC 8685        ","","","","","","","","0","1","","16.5","","1993-03-30 00:00:00","",""
"939","SN 1993aj","12:04:21.15","-00:43:13.91","SN Ia","","Anon.           ","","","","","","","","0","1","","17","","1993-12-27 00:00:00","",""
"938","SN 1993ai","00:00:00.00","+00:00:00.00","SN Ia","","UGC 3483        ","","","","","","","","0","1","","18","","1993-12-10 00:00:00","",""
"937","SN 1993ah","23:51:50.27","-27:57:47.02","SN Ia","","ESO 471-27      ","","","","","","","","0","1","","17","","1993-11-16 00:00:00","",""
"936","SN 1993ag","10:03:35.00","-35:27:47.59","SN Ia","","Anon.           ","","","","","","","","0","1","","18.5","","1993-11-15 00:00:00","",""
"935","SN 1993af","05:08:00.71","-37:29:17.99","SN Ia","","NGC 1808        ","","","","","","","","0","1","","17","","1993-11-15 00:00:00","",""
"934","SN 1993ae","01:29:48.92","-01:58:37.20","SN Ia","","IC 126          ","","","","","","","","0","1","","16.5","","1993-11-07 00:00:00","",""
"933","SN 1993ad","23:34:40.97","-03:09:33.08","SN II","","IC 1501         ","","","","","","","","0","1","","18","","1993-11-07 00:00:00","",""
"932","SN 1993ac","05:46:23.55","+63:22:07.00","SN Ia","","Anon.           ","","","","","","","","0","1","","18","","1993-10-13 00:00:00","",""
"931","SN 1993ab","00:00:00.00","+00:00:00.00","SN Ia","","NGC 1164        ","","","","","","","","0","1","","18","","1993-09-24 00:00:00","",""
"930","SN 1993aa","23:03:22.08","-06:20:56.18","SN Ia","","Anon.           ","","","","","","","","0","1","","18","","1993-09-19 00:00:00","",""
"966","SN 1993Z","09:10:19.60","+07:01:40.30","SN Ia","","NGC 2775        ","","","","","","","","0","1","","13.9","","1993-09-23 00:00:00","",""
"965","SN 1993Y","03:31:24.41","+39:45:02.59","SN Ia","","UGC 2771        ","","","","","","","","0","1","","17","","1993-09-18 00:00:00","",""
"964","SN 1993X","07:27:40.60","+85:46:26.18","SN II","","NGC 2276        ","","","","","","","","0","1","","16.3","","1993-08-22 00:00:00","",""
"963","SN 1993W","23:29:40.07","-03:02:25.80","SN II","","Anon.           ","","","","","","","","0","1","","16","","1993-08-18 00:00:00","",""
"962"," 1993V","15:31:01.77","+50:17:47.80","QSO","","Anon.           ","","","","","","","","0","1","","0","","0000-00-00 00:00:00","",""
"961"," 1993U","15:25:14.95","+50:34:38.71","QSO","","Anon.           ","","","","","","","","0","1","","0","","0000-00-00 00:00:00","",""
"960","SN 1993T","23:10:54.09","-44:58:48.61","SN Ia","","Anon.           ","","","","","","","","0","1","","18","","1993-05-26 00:00:00","",""
"959","SN 1993S","00:00:00.00","+00:00:00.00","SN II","","Anon.           ","","","","","","","","0","1","","17.5","","1993-05-26 00:00:00","",""
"958","SN 1993R","00:00:00.00","+00:00:00.00","SN II","","NGC 7742        ","","","","","","","","0","1","","17","","1993-06-02 00:00:00","",""
"957","SN 1993Q","20:35:46.94","-42:47:33.40","SN Ia","","Anon.           ","","","","","","","","0","1","","19","","1993-05-28 00:00:00","",""
"956","SN 1993P","13:29:25.80","-30:24:47.02","SN Ic","","Anon.           ","","","","","","","","0","1","","17.5","","1993-05-18 00:00:00","",""
"955","SN 1993O","13:31:07.87","-33:12:50.51","SN Ia","","Anon.           ","","","","","","","","0","1","","17.5","","1993-05-18 00:00:00","",""
"954","SN 1993N","00:00:00.00","+00:00:00.00","SN IIP","","UGC 5695        ","","","","","","","","0","1","","17.5","","1993-04-15 00:00:00","",""
"953","SN 1993M","19:13:01.53","-64:17:28.28","SN Ia","","Anon.           ","","","","","","","","0","1","","18.5","","1993-04-28 00:00:00","",""
"952","SN 1993L","22:57:52.87","-35:51:27.00","SN Ia","","IC 5270         ","","","","","","","","0","1","","14","","1993-04-30 00:00:00","",""
"951","SN 1993K","00:00:00.00","+00:00:00.00","SN II","","NGC 2223        ","","","","","","","","0","1","","14.5","","1993-03-28 00:00:00","",""
"950","SN 1993J","09:55:25.00","+69:01:13.01","SN IIb","","NGC 3031        ","","","","","","","","0","1","","10.2","","1993-03-28 00:00:00","",""
