"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"15769","SN 2016hli","03:43:38.45","+46:09:32.77","SN Ia","0.017","","","ATLAS","ASAS-SN","ATLAS","ATLAS16dod","ATLAS1 - ACAM1","MDM-2.4 - OSMOS","1","1","","18.04","cyan-ATLAS","2016-10-25 10:32:09","ATLAS_Bot1",""
"15768","AT 2016hlh","18:41:13.66","+43:07:25.64","","","","","ATLAS","","ATLAS","ATLAS16dnj","ATLAS1 - ACAM1","","1","1","","17.96","cyan-ATLAS","2016-10-25 05:02:24","ATLAS_Bot1",""
"15767","AT 2016hlg","04:26:51.94","+01:42:08.49","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eru","PS1 - GPC1","","1","1","","21.02","i-Sloan","2016-10-13 12:56:09","PS1_Bot1",""
"15766","AT 2016hlf","05:02:41.53","+01:42:22.82","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erv","PS1 - GPC1","","1","1","","20.19","i-Sloan","2016-10-13 13:03:21","PS1_Bot1",""
"15765","AT 2016hle","03:50:19.55","-23:00:55.77","","","","","Pan-STARRS1","","Pan-STARRS1","PS16ers","PS1 - GPC1","","1","1","","19.98","i-Sloan","2016-10-12 12:46:04","PS1_Bot1",""
"15764","AT 2016hld","19:24:36.75","+73:07:31.11","","","","","Pan-STARRS1","","Pan-STARRS1","PS16ert","PS1 - GPC1","","1","1","","19.13","i-Sloan","2016-10-12 05:26:52","PS1_Bot1",""
"15763","AT 2016hlc","02:58:45.81","-26:26:27.57","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erq","PS1 - GPC1","","1","1","","20.14","i-Sloan","2016-10-12 11:02:24","PS1_Bot1",""
"15762","AT 2016hlb","03:44:06.84","+13:19:56.08","","","","","Pan-STARRS1","","Pan-STARRS1","PS16err","PS1 - GPC1","","1","1","","20.97","w-PS1","2016-10-12 13:53:45","PS1_Bot1",""
"15761","AT 2016hla","00:54:04.04","+25:55:39.25","","","","","Pan-STARRS1","","Pan-STARRS1","PS16ero","PS1 - GPC1","","1","1","","20.51","i-Sloan","2016-10-10 07:49:26","PS1_Bot1",""
"15760","AT 2016hkz","01:59:24.40","+39:51:50.49","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erp","PS1 - GPC1","","1","1","","20.69","i-Sloan","2016-10-10 08:55:40","PS1_Bot1",""
"15759","AT 2016hky","00:29:47.11","+53:57:56.48","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bow","Gaia - Gaia-photometric","","1","1","","18.79","G-Gaia","2016-10-13 00:24:28","Gaia_Bot1",""
"15758","AT 2016hkx","17:14:57.61","+29:09:11.50","","","UGC 10772","","POSS, ATLAS, GaiaAlerts","","ATLAS; GaiaAlerts; POSS","","Other - Other, ATLAS1 - ACAM1, Gaia - Gaia-photometric","","1","1","","17.9","Clear-","2016-10-25 02:11:40","Puckett",""
"15757","AT 2016hkw","19:26:33.87","+16:02:20.26","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bov","Gaia - Gaia-photometric","","1","1","","17.7","G-Gaia","2016-10-19 19:03:21","Gaia_Bot1",""
"15756","AT 2016hkv","05:41:39.24","+20:46:12.32","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bou","Gaia - Gaia-photometric","","1","1","","17.92","G-Gaia","2016-10-20 07:36:28","Gaia_Bot1",""
"15755","AT 2016hku","03:18:37.84","+50:25:25.21","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bot","Gaia - Gaia-photometric","","1","1","","18.81","G-Gaia","2016-10-18 00:54:43","Gaia_Bot1",""
"15754","AT 2016hkt","22:24:52.96","+53:30:01.51","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bos","Gaia - Gaia-photometric","","1","1","","17.79","G-Gaia","2016-10-20 06:12:57","Gaia_Bot1",""
