ID,Name,RA,DEC,Type,Redshift,Host Name,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS objid,SDSS type,SDSS offset,SDSS ra,SDSS dec,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS redshift,SDSS err_u,SDSS err_g,SDSS err_r,SDSS err_i,SDSS err_z,SDSS err_redshift
26202,SN 2018bgv,165.62621,55.59883,SLSN-I,0.08,,,"GaiaAlerts, ATLAS, Pan-STARRS1",NUTS,ATLAS; GaiaAlerts; Pan-STARRS1,Gaia18beg,"Gaia - Gaia-photometric, ATLAS1 - ACAM1, PS1 - GPC1",,1,1,,18.26,G-Gaia,2018-05-06 17:19:40,Gaia_Bot1,,1237657220950327558,3,0.0208092345288691,165.626722610012,55.5986391952396,20.87276,20.01687,19.7222,19.48737,19.57391,0.104186,0.09927744,0.02167088,0.02552747,0.02885589,0.1223063,0.033635
26185,SN 2018bge,166.06662,50.03055,SN II,0.023894,,,"ATLAS, GaiaAlerts",,ATLAS; GaiaAlerts,ATLAS18nvj,"ATLAS1 - ACAM1, Gaia - Gaia-photometric",LT - SPRAT,1,1,,18.591,orange-ATLAS,2018-05-06 08:57:07,ATLAS_Bot1,,1237657855532269681,6,0.0814078539515618,166.068708730027,50.030348550915,22.52836,22.49488,22.11951,22.18065,22.2063,0,0.2839842,0.1630674,0.1454024,0.2614379,0.8280774,0
26183,SN 2018bgc,128.47783,55.5415,SN Ia,,,,ATLAS,,ATLAS,ATLAS18nvs,ATLAS1 - ACAM1,BAO-2.16m - Cassegrain,1,1,,17.64,orange-ATLAS,2018-05-06 07:17:45,ATLAS_Bot1,,1237663529723887794,6,0.0672059056216974,128.479777419657,55.5412987503344,20.95478,20.69534,20.80452,21.04869,21.43059,0,0.1058035,0.03486246,0.05835438,0.1075958,0.5303591,0
26182,SN 2018bgb,187.32329,6.34114,SN Ia,0.086,,,ZTF,ePESSTO,ZTF,ZTF18aaphzut,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,18.76,r-ZTF,2018-05-05 04:03:21,ZTF_Bot1,,1237661970112840095,3,0.00988826891699952,187.323131551054,6.34109141286971,21.67603,19.74373,18.81956,18.36445,17.99882,0.128719,0.2299869,0.02265698,0.01405471,0.01331624,0.03248843,0.025924
26178,SN 2018bfx,199.52763,27.87339,SN Ia,,,,"ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aajpjdi,"P48 - ZTF-Cam, ATLAS1 - ACAM1",,1,1,,20.04,r-ZTF,2018-04-14 07:24:57,ZTF_Bot1,,1237667444587298906,3,0.0142224509044688,199.527637727681,27.8731530576035,19.07353,18.1646,17.84087,17.53318,17.43182,0.082104,0.03030665,0.007011113,0.007334506,0.008413392,0.02365022,0.017599
26174,SN 2018bft,208.32979,-4.85885,SN Ia,0.075,SDSS J135319.28-045134.6,0.063,,,,C17-0118,CTIO-4m - DECAM,Lick 3m - KAST,1,1,,19.826,i-Sloan,2018-05-02 14:44:26,Narayan,KEGS-C16;KEGS-C17,1237671957522088204,3,0.0573674063454009,208.330351035301,-4.85962567388294,19.21115,17.81734,17.20933,16.82898,16.56257,0.068163,0.06025657,0.00839377,0.007821934,0.009526909,0.02527696,0.020408
26170,SN 2018bfp,201.15925,-2.58111,SN Ib,0.053,SDSS J132438.21-023450.3,0.06,,,,C17-0116,CTIO-4m - DECAM,Gemini-N - GMOS,1,1,,22.444,g-Sloan,2018-04-24 16:38:36,Narayan,KEGS-C16;KEGS-C17,1237655498663330025,3,0.027804473794824,201.159224603917,-2.5806472871027,19.80075,18.54429,18.13777,17.87123,17.78604,0.07268,0.08077355,0.01316713,0.01309952,0.01559312,0.0557196,0.02074
26162,SN 2018bfh,155.67162,15.93892,SN Ia,0.044,CGCG 094-019,0.044541,"ASAS-SN, ZTF",DAO_OTS,ASAS-SN; ZTF,ASASSN-18jn,"ASASSN-5 - Payne-Gaposchkin, ASASSN-4 - Leavitt, P48 - ZTF-Cam","Lick 3m - KAST, Plaskett Telescope - Plaskett",1,1,,17,g-Sloan,2018-05-06 03:50:24,Stanek,,1237668496310206652,3,0.0324707763746711,155.671376577452,15.9394079441212,17.05551,15.41455,14.66936,14.29824,14.01378,0.035127,0.01346488,0.002742877,0.002379251,0.002422345,0.003932081,0.010862
26157,SN 2018bfc,350.74308,-1.02789,SN Ia,0.034,SDSS J232258.36-010141.2,0.034266,ASAS-SN,,ASAS-SN,ASASSN-18jl,ASASSN-3 - Paczynski,Keck1 - LRIS,1,1,,16.9,g-Sloan,2018-05-05 09:36:00,Stanek,,1237656906351051104,3,0.0151405820989821,350.743184440509,-1.02811972309078,19.27048,18.05561,17.62726,17.32285,17.22971,0.072922,0.09606586,0.01533088,0.02211843,0.02521738,0.06639025,0.017521
26137,SN 2018bei,233.888,12.5679,SN II,0.028,LEDA 214391,0.02837,"LOSS, ZTF",ePESSTO,LOSS; ZTF,kait-18T,"Other - Other, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,18.6,Clear-,2018-05-03 11:45:24,Zheng,,1237668270838251569,3,0.0287074122072244,233.887661300204,12.5675541171453,18.15536,16.93082,16.50743,16.27254,16.18166,0.032003,0.02421404,0.007780898,0.006899725,0.009193389,0.02242073,0.009397
26136,SN 2018beh,142.84583,17.80831,SN Ib/c,0.06,SDSS J093123.09+174828.0,,"ASAS-SN, ATLAS",ePESSTO,ASAS-SN; ATLAS,ASASSN-18ji,"ASASSN-3 - Paczynski, ATLAS1 - ACAM1",ESO-NTT - EFOSC2-NTT,1,1,,17.4,g-Sloan,2018-05-04 00:57:36,Stanek,,1237667536393535866,3,0.0384904396528279,142.8462093593,17.8077798315382,20.5851,19.2461,18.86329,18.58203,18.42103,0.068108,0.1360964,0.02228457,0.02235654,0.02593454,0.07895355,0.019644
26115,SN 2018bdo,231.65958,28.86628,SN Ia,0.08,,,"GaiaAlerts, ZTF, ATLAS",NUTS,ATLAS; GaiaAlerts; ZTF,Gaia18bca,"Gaia - Gaia-photometric, P48 - ZTF-Cam, ATLAS1 - ACAM1",NOT - ALFOSC,1,1,,18.56,G-Gaia,2018-04-28 12:08:38,Gaia_Bot1,,1237662661602968040,3,0.0127624872887845,231.659817256567,28.866325534805,19.10822,17.80843,17.16231,16.76826,16.52267,0.096086,0.05375644,0.01448726,0.01388363,0.009622185,0.02835879,0.021711
26107,SN 2018bdg,179.90417,27.53057,SN Ia-91T-like,0.09,,,"GaiaAlerts, ATLAS, ZTF",ePESSTO,ATLAS; GaiaAlerts; ZTF,Gaia18bbq,"Gaia - Gaia-photometric, ATLAS1 - ACAM1, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,18.88,G-Gaia,2018-04-28 01:09:07,Gaia_Bot1,,1237667323254997927,3,0.019601041783709,179.904473981816,27.530754553128,21.67824,21.16788,21.04954,20.78315,20.67971,0.507341,0.2042612,0.0565449,0.08805163,0.1101393,0.4118984,0.17734
26074,SN 2018bbz,261.96804,60.09606,SN Ia,0.028,PGC60339,,"ISSP, ZTF",NUTS,ISSP; ZTF,,"Other - Other, P48 - ZTF-Cam",NOT - ALFOSC,1,1,,17.9,Clear-,2018-04-26 00:28:48,Ciabattari,,1237656529992548527,3,0.0773049640294623,261.968847622207,60.0972838891678,16.78494,14.85204,14.01812,13.58886,13.27892,0.031595,0.01251382,0.00220073,0.00198876,0.00197358,0.003275246,0.008466
26045,SN 2018bba,159.51662,45.25664,SN Ia,0.121,,,ZTF,ZTF,ZTF,ZTF18aahqavd,P48 - ZTF-Cam,P200 - DBSP,1,1,,20.3,r-ZTF,2018-04-10 06:14:24,ZTF_Bot1,,1237660636533293293,3,0.0393034862672895,159.515985932111,45.2571194607038,20.55148,19.24388,18.76208,18.44326,18.43586,0.105925,0.1065562,0.01643267,0.01749631,0.02136751,0.07012101,0.029108
26044,SN 2018baz,246.05579,25.27206,SN Ia-91bg-like,0.1,,,ZTF,ZTF,ZTF,ZTF18aaiajvb,P48 - ZTF-Cam,P200 - DBSP,1,1,,20.6,r-ZTF,2018-03-21 09:50:24,ZTF_Bot1,,1237662640660021975,3,0.0179056274395282,246.055920846738,25.2717860323659,24.16931,22.09181,21.35296,21.2618,21.72827,0.110815,1.817714,0.1634054,0.1205635,0.156484,0.7844996,0.069747
26057,SN 2018bbk,118.11229,16.49403,SN II,0.038,,,ZTF,ZTF,ZTF,ZTF18aaewugy,P48 - ZTF-Cam,APO 3.5m - DIS,1,1,,18.7,r-ZTF,2018-03-05 03:36:00,ZTF_Bot1,,1237664835921838764,6,0.00233935489996189,118.11230734895,16.4940652624068,22.26776,21.94596,22.42986,22.48185,22.82694,0,0.212768,0.0771989,0.1554936,0.1933865,0.5993282,0
26041,SN 2018baw,261.64162,34.37356,SN Ia,0.062,,,ZTF,ZTF,ZTF,ZTF18aaibibr,P48 - ZTF-Cam,P200 - DBSP,1,1,,20.1,r-ZTF,2018-03-21 10:48:00,ZTF_Bot1,,1237665582724874633,6,0.0219384033968434,261.641188130988,34.373641447358,24.65623,25.13388,24.8115,22.2585,19.47559,0,5.346548,4.39466,4.972279,1.45971,0.3757718,0
26039,SN 2018bau,176.54983,9.35503,SN Ia,0.08,,,"ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aahfxnn,"P48 - ZTF-Cam, ATLAS1 - ACAM1",P200 - DBSP,1,1,,19,r-ZTF,2018-04-06 05:31:12,ZTF_Bot1,,1237660613439652108,3,0.0693085624042567,176.548694596951,9.35474843909812,20.16038,18.7844,18.24748,17.91824,17.68225,0.085419,0.1039877,0.01542656,0.0160764,0.01706097,0.0479336,0.026605
26040,SN 2018bav,251.85638,25.68508,SN Ia,0.114,,,ZTF,ZTF,ZTF,ZTF18aagrgao,P48 - ZTF-Cam,P200 - DBSP,1,1,,19.7,r-ZTF,2018-03-21 09:21:36,ZTF_Bot1,,1237662300840395048,3,0.0427885117553939,251.857106181214,25.6847966356526,19.71821,17.67036,16.60172,16.14991,15.80287,0.12202,0.06053734,0.006856572,0.004425749,0.004386134,0.008858252,0.010286
26037,SN 2018bas,177.79775,16.52983,SN II,0.066,,,ZTF,ZTF,ZTF,ZTF18aahmrtf,P48 - ZTF-Cam,P200 - DBSP,1,1,,19.6,r-ZTF,2018-04-08 06:57:36,ZTF_Bot1,,1237668584362868845,3,0.0344412277787717,177.797250979714,16.5301472325934,19.33101,18.35368,18.01493,17.77256,17.67977,0.062209,0.05178466,0.01115428,0.01225065,0.01392897,0.04363006,0.018831
26038,SN 2018bat,219.45421,45.54928,SN Ia,0.124,,,ZTF,ZTF,ZTF,ZTF18aaguhgb,P48 - ZTF-Cam,P200 - DBSP,1,1,,19.7,g-ZTF,2018-03-30 12:00:00,ZTF_Bot1,,1237661212582084760,3,0.0524238664117832,219.454241384126,45.5484065453647,18.71075,17.50717,16.77703,16.36634,16.09693,0.134707,0.03277333,0.005995573,0.00490754,0.005101693,0.01180995,0.020731
26035,SN 2018baq,177.93967,57.79954,SN Ia,0.064,,,"ATLAS, ZTF",ZTF,ATLAS; ZTF,ATLAS18nqr,"ATLAS1 - ACAM1, P48 - ZTF-Cam",LT - SPRAT,1,1,,18.471,orange-ATLAS,2018-04-12 10:12:00,ATLAS_Bot1,,1237661353779396732,3,0.0788293604855762,177.937277583365,57.7998575367564,18.38168,17.27355,16.86406,16.57997,16.45386,0.066971,0.02588895,0.005630462,0.005404023,0.006061622,0.01599626,0.012555
26029,SN 2018bak,156.20021,-2.5099,SN Ia,0.088,,,GaiaAlerts,ePESSTO,GaiaAlerts,Gaia18baf,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,19.26,G-Gaia,2018-04-12 16:33:35,Gaia_Bot1,,1237650804269580488,3,0.0178809870092545,156.20013298964,-2.51018791419508,18.57088,17.60365,17.21229,16.88783,16.76527,0.077954,0.02653116,0.00622078,0.006089647,0.006370655,0.01976272,0.01463
26024,SN 2018baf,199.25658,-2.2769,SN Ia,0.12,SDSS J131701.56-021636.7,,SNHunt,ePESSTO,CRTS; SNHunt,,Other - Other,ESO-NTT - EFOSC2-NTT,1,1,,19.8,V-crts-CRTS,2018-04-23 06:19:31,Drake,,1237650761862087202,3,0.00477002192291432,199.256506909056,-2.27686859213349,20.80694,19.64755,19.27127,18.98711,18.93688,0.090871,0.1562497,0.02577763,0.0302905,0.03681701,0.1421401,0.034545
26021,SN 2018bac,160.67567,25.99477,SN Ia,0.0372,,,ATLAS,ZTF,ATLAS,ATLAS18nly,ATLAS1 - ACAM1,P60 - SED-Machine,1,1,,18.161,cyan-ATLAS,2018-04-19 09:54:43,ATLAS_Bot1,,1237667323784396862,3,0.051164261918091,160.675995310999,25.995571039357,18.9369,17.93352,17.54519,17.3444,17.13487,0.035022,0.02547197,0.006479149,0.006594829,0.008367862,0.02105661,0.009875
25971,SN 2018ayf,145.29429,24.02236,SN Ia-pec,0.07,2MASX J09411042+2401218,0.070028,"ASAS-SN, GaiaAlerts",Padova-Asiago,ASAS-SN; GaiaAlerts,ASASSN-18iv,"ASASSN-2 - Cassius, Gaia - Gaia-photometric",Ekar - AFOSC,1,1,,17,V-Johnson,2018-04-19 23:31:12,Stanek,,1237667211587551371,3,0.0526198632809744,145.293555698478,24.021794948755,17.51552,16.74336,16.91034,17.36862,17.89644,-9999,0.0328725,0.00795371,0.01460818,0.03644254,0.2460729,-9999
25972,SN 2018ayg,220.91271,18.87018,SN Ia,0.031,2MASX J14433925+1852124,0.030973,"ASAS-SN, ATLAS","Padova-Asiago, ePESSTO",ASAS-SN; ATLAS,ASASSN-18iw,"ASASSN-4 - Leavitt, ASASSN-3 - Paczynski, ATLAS1 - ACAM1","Ekar - AFOSC, ESO-NTT - EFOSC2-NTT",1,1,,18.1,g-Sloan,2018-04-21 06:28:48,Stanek,,1237667735597351217,3,0.048036013288498,220.913547985504,18.8700695672775,17.65911,15.78699,14.94395,14.51243,14.197,0.037441,0.01899797,0.002875382,0.002497826,0.002413267,0.004343119,0.010286
25970,SN 2018aye,269.41817,50.03881,SN Ia,0.017,SDSS J175740.70+500154.1,,"ASAS-SN, ATLAS",Padova-Asiago,ASAS-SN; ATLAS,ASASSN-18iu,"ASASSN-4 - Leavitt, ATLAS1 - ACAM1",Ekar - AFOSC,1,1,,18,g-Sloan,2018-04-21 07:26:24,Stanek,,1237656564367032368,3,0.0726970987884916,269.419939992749,50.0383908710816,21.04362,20.35653,20.35509,20.15122,20.27344,0.1256,0.360477,0.0760955,0.1197165,0.1450176,0.7734284,0.133296
25932,SN 2018aws,185.57821,9.0313,SN Ia,0.14,SDSS J122218.98+090153.1,,SNHunt,ePESSTO,CRTS; SNHunt,,Other - Other,ESO-NTT - EFOSC2-NTT,1,1,,20.5,V-crts-CRTS,2018-04-20 06:22:02,Drake,,1237662236392948052,3,0.0524136919317297,185.579089866436,9.03138956040495,19.798,18.88437,18.29818,17.97471,17.8534,0.17824,0.07241628,0.01540215,0.01290523,0.01322693,0.03969775,0.026236
25926,SN 2018awn,172.54842,4.41544,SN Ia,0.029123,2MASX J11301164+0424561,0.029123,ASAS-SN,"ePESSTO, Padova-Asiago",ASAS-SN,ASASSN-18io,"ASASSN-5 - Payne-Gaposchkin, ASASSN-3 - Paczynski","ESO-NTT - EFOSC2-NTT, Ekar - AFOSC",1,1,,16.9,g-Sloan,2018-04-20 05:16:48,Stanek,,1237654604794298408,3,0.0111084807723377,172.54851577741,4.41559861393034,18.00154,16.57619,15.95818,15.66937,15.45153,0.027564,0.02026273,0.004054499,0.003523707,0.00356608,0.006923732,0.012085
25911,SN 2018avz,209.77287,58.26837,SN Ia,0.0606,,,"GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts,Gaia18azf,"Gaia - Gaia-photometric, ATLAS1 - ACAM1",P60 - SED-Machine,1,1,,17.84,G-Gaia,2018-04-16 23:48:28,Gaia_Bot1,,1237659326552998032,3,0.00266857024455701,209.772951401117,58.2683820517801,20.19402,18.88294,18.38997,18.09557,17.90684,0.079937,0.08173488,0.01277562,0.01180747,0.0145942,0.04476672,0.023671
25907,SN 2018avv,207.89317,-5.88994,SN Ia,0.06,SDSS J135134.34-055325.8,,"ASAS-SN, ATLAS",ePESSTO,ASAS-SN; ATLAS,ASASSN-18im,"ASASSN-3 - Paczynski, ATLAS1 - ACAM1",ESO-NTT - EFOSC2-NTT,1,1,,17.8,g-Sloan,2018-04-17 05:02:24,Stanek,,1237671956448674014,3,0.0342421857992968,207.893113418697,-5.89050792103021,19.65639,18.89417,18.67741,18.42876,18.3277,0.067238,0.04482826,0.01097642,0.01199034,0.01402183,0.04470051,0.022873
25906,SN 2018avu,160.065,1.8882,SN Ia,0.08,,,GaiaAlerts,ePESSTO,GaiaAlerts,Gaia18aza,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,18.77,G-Gaia,2018-04-15 18:28:48,Gaia_Bot1,,1237651753464758384,3,0.0570475652944941,160.065823183402,1.8877234378956,20.69045,19.09161,18.26029,17.7952,17.47318,0.118244,0.1310798,0.01549233,0.01124376,0.01127242,0.03202295,0.033208
25901,SN 2018avp,195.11062,18.61947,SN Ia,0.048,SDSS J130026.83+183711.1,0.052717,"ASAS-SN, ATLAS, ZTF","Padova-Asiago, ePESSTO, ZTF",ASAS-SN; ATLAS; ZTF,ASASSN-18ii,"ASASSN-3 - Paczynski, ATLAS1 - ACAM1, P48 - ZTF-Cam","Ekar - AFOSC, ESO-NTT - EFOSC2-NTT, APO 3.5m - DIS",1,1,,17.9,g-Sloan,2018-04-16 06:00:00,Stanek,,1237668296597700818,3,0.0689961218477757,195.111793335239,18.6197632253101,19.49075,18.02032,17.57643,17.30341,17.13182,0.062844,0.08446381,0.01245661,0.01280607,0.01704393,0.0435099,0.019381
25896,SN 2018avk,197.86562,65.6381,SN Ic,0.132,,,"GaiaAlerts, ATLAS",,ATLAS; GaiaAlerts,Gaia18ayq,"Gaia - Gaia-photometric, ATLAS1 - ACAM1",MMT - MMT-Blue,1,1,,18.63,G-Gaia,2018-04-14 17:45:36,Gaia_Bot1,,1237651067892400350,3,0.042975532137315,197.867344164011,65.638015161327,23.21282,21.84117,21.02518,20.69022,20.68412,0.340763,0.8271016,0.09695649,0.07042488,0.07912741,0.2921869,0.14558
25892,SN 2018avg,193.45604,29.59106,SN Ia,0.0463,PGC 43834,0.04638,"POSS, ATLAS, GaiaAlerts",,ATLAS; GaiaAlerts; POSS,,"Other - Other, ATLAS1 - ACAM1, Gaia - Gaia-photometric",P60 - SED-Machine,1,1,,18.2,Clear-,2018-04-16 08:03:27,Puckett,,1237667254019031160,6,0.0526970394414265,193.456779366551,29.5916583503098,22.72009,23.35409,22.68922,22.81383,22.05948,0,0.2899969,0.1909187,0.2124102,0.3037542,0.4729701,0
