id,label,ra,dec,mag
57671725164311935325,SN,181.24362,32.39143,17.8
36274061743563165972,SN,180.42962,8.13469,17
77356803819399836126,SN,162.10567,-25.15995,16.4
82151709081762594027,SN,181.36112,20.29912,16.69
42959394271553225484,SN,78.92958,-19.42272,19.432
21731701017149183696,SN,276.70354,51.14047,18.9
33359376732894828658,SN,218.97258,35.28837,17.1
21143712288081968776,VS,170.72871,16.58972,13.8
2991508051714350431,SN,138.08408,13.67281,16.5
32977765902646980443,SN,191.27208,-44.00642,16
22517695718785188578,SN,237.51442,42.0883,17
31541025527725389434,SN,172.84892,-37.6024,17.5
1859799789550156813,VS,206.2645,-41.87319,16.5
26937283258863822289,SN,144.64829,17.02917,17
51414709100932819921,SN,177.75762,-28.74406,18.3775
45505276094469225242,SN,222.69967,54.408,18
60473951541538942736,SN,182.65912,39.39639,15.3
20813761740362966729,SN,209.96679,-14.91314,18.255
17627693267647253639,SN,254.81967,1.36783,17.238
57950023235433122499,SN,245.78262,39.31496,17.409
47670948624946531297,SN,129.13104,-11.82798,18.348
81847229393397411479,SN,243.75333,31.07195,17.773
29196178043039040188,VS,123.63004,-25.21708,15.12
91098598472985236987,SN,77.88567,18.79333,16.8
25138745845163542741,SN,204.40117,-31.96449,17.1
82300239194491072975,SN,198.60621,50.97801,17.5
23855651437337058594,SN,227.35633,25.47154,17.6
81856635027068283228,SN,176.42283,-7.48654,18.91
50257894277492538503,SN,164.50325,72.44071,17.1
162262014493835387,SN,138.73042,46.9025,18
29561844692075549182,SN,225.48887,25.7711,17.8
90268960441139831973,SN,176.16879,13.56225,19.31
65943791927723576039,SN,201.45446,-7.10779,19.95
64658370426339627242,SN,218.33304,41.2676,17.2
47997776630863597928,VS,150.84675,-26.18218,17.5
39048671175507794553,SN,157.46542,9.01286,17.9
60863604196225839910,SN,271.93708,18.74983,18.46
16139262808943821201,SN,186.79721,-7.6968,18.9
84269155465347564278,SN,124.27879,56.00528,17.3
24736565567785164688,SN,236.90017,-10.46072,18
92488977689150872317,SN,174.42575,-49.17865,18.65
83829170635861979094,SN,96.76567,-25.6399,17.3
50637923736869521109,SN,286.12679,46.90011,18.29
42731329903823130914,SN,206.89879,-5.3421,20.87
29305408414407278725,SN,203.43504,-4.65554,19.89
95013714068481653460,SN,199.99746,-10.48031,21.11
60037411348948165587,VS,220.13779,-15.7564,18.32
71525214722837203803,VS,215.7105,-22.30803,16.84
42863154922622217687,SN,174.69604,-33.16738,17.4
23372427850400790731,AGN,196.08737,1.15093,18.196
20923879105652738203,SN,190.45854,68.26065,18.448
73603950390335791393,SN,185.54337,26.99457,-20.303
58512243828574008420,SN,172.09521,44.74911,18.061
62819119700318302859,AGN,215.95933,-9.38821,19.245
49688196266466538049,SN,227.68146,5.48092,18.67
43912044457729212851,SN,217.60379,11.9326,17.5
14339171749522037412,SN,107.65579,59.15127,18.577
59771881374330867683,SN,110.50996,41.56943,19.428
59015339656157625097,SN,143.439,56.85302,19.582
54774032464407788266,SN,224.28958,19.7,18.6
47664141303073771392,SN,204.32983,-1.29631,21.85
94091825454986671803,SN,197.65162,-4.48574,20.235
2001588584424897398,SN,100.16787,-63.32746,16.94
74371153101812930442,SN,74.38112,-50.17422,17.7
81543260896614310893,SN,119.85429,16.4265,17.3
27081710864536337514,SN,103.52504,8.57247,19.032
13902235776164247969,SN,162.8185,22.47761,18.4
69480395145936564049,SN,165.18908,22.2875,18.1
45856818871816080143,SN,199.02075,-14.05809,20.23
83277999607338857134,SN,236.09587,39.55809,18.42
