NNo,GCVS,RA,Dec,RA (hourangle),Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
110528,V0528 Cam,56.2115,68.63125,3.747433333,UG,14.9,21,,*,,,,,pec,81062 81062,,0.000  0.000,1993.733,,G23,,V0528 Cam,
780853,V0853 Tau,56.3017917,22.6975278,3.75345278,UV,14.9,20.2,,U,,,,,,68241 68241,,,1998.859,,2MASS,,V0853 Tau,
780301,NZ    Tau *,56.30475,24.2566111,3.75365,UV,15.8,21.6,,U,,,,,,05606 10031,,,1999.962,,2MASS,,NZ    Tau,
780302,OO    Tau *,56.305875,23.5169167,3.753725,UV,14.1,20.2,,U,,,,,,05606 10031,,,1998.859,,2MASS,,OO    Tau,
430100,BW    Hyi,56.3137083,-71.9379722,3.75424722,RRAB,18.78,21.12,,B,,,,,,72082 72082,,,1980.379,,A2.0,,BW    Hyi,
430101,BX    Hyi,56.3185,-71.927,3.754566667,RRC,19.1,20.06,,B,,,,,,72082 72082,,,1980.379,,A2.0,,BX    Hyi,
780522,V0522 Tau *,56.3526667,25.0440556,3.756844447,UV,15.3,21,,U,,,,,,06397 10031,,,1999.962,,2MASS,,V0522 Tau,
780854,V0854 Tau,56.364625,23.6325833,3.757641667,UV,16.7,21,,U,,,,,,68240 68241,,,1998.859,,2MASS,,V0854 Tau,
780748,V0748 Tau *,56.4941667,22.3323611,3.76627778,UV,16.2,20.2,,p,,,,,,08554 10031,,,1989.959,,GSC2.2,,V0748 Tau,
780445,V0445 Tau *,56.5286667,25.2458611,3.76857778,UV,14.5,21,,p,,,,,,10031 10031,,,1999.962,,2MASS,,V0445 Tau,
780639,V0639 Tau *,56.5399583,22.7103889,3.769330553,UV,15.2,20.2,,p,,,,,,06893 10031,,,1998.881,,2MASS,,V0639 Tau,
780528,V0528 Tau *,56.59775,24.0309444,3.773183333,UV,13.3,20.5,,U,,,,,,06397 10031,,,1998.889,,2MASS,,V0528 Tau,
780319,PU    Tau *,56.7086667,23.5323333,3.78057778,UV,16,20.1,,U,,,,,,05520 10031,,,1998.881,,2MASS,,PU    Tau,
780324,PZ    Tau *,56.7275,24.9861944,3.781833333,UV,17,21,,U,,,,,,05610 10031,,,2000.732,,2MASS,,PZ    Tau,
780327,QS    Tau *,56.7959167,24.2310278,3.786394447,UV,14,22,,U,,,,,,05607 10031,,,2000.732,,2MASS,,QS    Tau,
780862,V0862 Tau,56.8155417,22.3547778,3.78770278,UV,15.9,21,,U,,,,,,68246 68236,,,1997.824,,2MASS,,V0862 Tau,
780455,V0455 Tau *,56.84,22.3698611,3.789333333,UV,14,20.5,,U,,,,,,10031 10031,,,1997.824,,2MASS,,V0455 Tau,
780791,V0791 Tau *,56.8877083,25.6385278,3.792513887,UV,16.5,20.1,,p,,,,,,08794 10031,,,1998.889,,2MASS,,V0791 Tau,
780792,V0792 Tau *,56.8958333,24.8536111,3.793055553,UV,13.4,20.5,,U,,,,,,8796,,,,,,,V0792 Tau,
780752,V0752 Tau *,56.899375,24.8741389,3.793291667,UV,16.5,21.4,,U,,,,,,08561 10031,,,1998.889,,2MASS,,V0752 Tau,
110274,LZ    Cam,56.9373333,63.4736389,3.79582222,EW,19.5,20.61,20.2,V,51871.186,,0.326171,,,78059 78059,,,1954.013,,A2.0,EC,LZ    Cam,
780334,QZ    Tau *,56.9412917,24.63375,3.796086113,UV,13.2,21.2,,U,,,,,,05607 10031,,,1998.889,,2MASS,,QZ    Tau,
780341,V0341 Tau *,57.0237917,22.636,3.801586113,UV,12,21,,U,,,,,,07328 10031,,,1997.824,,2MASS,,V0341 Tau,
780345,V0345 Tau *,57.08575,23.5171389,3.805716667,UV,15,22,,U,,,,,,05606 10031,,,1997.824,,2MASS,,V0345 Tau,
780795,V0795 Tau *,57.1332917,24.0800278,3.808886113,UV,14.5,20.5,,U,,,,,,08796 10031,,0.263,2000,,Lit.,,V0795 Tau,
780757,V0757 Tau *,57.1358333,23.4416667,3.809055553,UV,18.5,21,,p,,,,,,08554 10031,,,,?,Lit.,,V0757 Tau,
