id	other_designation	detection_list_id	ra_psf	dec_psf	observation_status	sherlockClassification
1100003751033831000	NULL	2	150.01563117538973	3.6419711616573256	NULL	SN
1124209370001223400	NULL	2	190.53905747697704	-0.20652307813618298	NULL	SN
1100718371003601300	NULL	2	151.8265654362478	0.600366508951799	NULL	ORPHAN
1100854681015236300	NULL	2	152.22786450035005	1.8767718545901806	NULL	SN
1102514541022504300	NULL	2	156.31059671374328	2.417886599473047		SN
1100410911033109700	NULL	2	151.04546614462384	3.5193834690330603	NULL	SN
1101428271015607600	NULL	2	153.61782534012355	1.9354591925608589	NULL	SN
1104515891021016700	NULL	2	161.31623266599763	2.1713293095097637	NULL	ORPHAN
1103952211000754800	NULL	2	159.96756957609372	0.13189041937985305	NULL	SN
1110001591031036900	NULL	2	165.0066335634556	3.17693891017885	NULL	SN
1125232671003123700	NULL	2	193.13615510169438	0.5232673336821364	NULL	NT
1105203421035941800	NULL	2	163.01426895701053	3.9949487355653917	NULL	SN
1105444581065934800	NULL	2	163.68578141108458	6.993005164847564	NULL	VS
1102852921060736100	NULL	2	157.22051155961717	6.126719107906379		SN
1104316581063038700	NULL	2	160.81910616645075	6.510758080845967	NULL	SN
1110016951064120100	NULL	2	165.07063313411288	6.68893162326223	NULL	SN
1101810561050248400	NULL	2	154.54401160483414	5.046805451814231	NULL	SN
1104859261275045100	NULL	2	162.2469292860581	27.84588313823037	NULL	ORPHAN
1104354951055831600	NULL	2	160.97898232520922	5.975455221456812	NULL	SN
1104859151275034700	NULL	2	162.24649756705625	27.8429760683564	NULL	ORPHAN
1172646991440549900	NULL	2	261.69580160345123	44.09720981200506		SN
1173738911464156300	NULL	2	264.4121600300258	46.69899961055236	NULL	ORPHAN
1174903051470905600	NULL	2	267.262712917475	47.15158255910796	NULL	SN
1171043911533559500	NULL	2	257.68299732724233	53.59988548399458	NULL	ORPHAN
1171358151492216200	NULL	2	258.49231111409676	49.37116736301761		ORPHAN
1190224701634105800	NULL	2	285.60294718125806	63.68496676068166		SN
1192311631674823900	NULL	2	290.7984844886418	67.80665519218184	NULL	UNCLEAR
1173757011462137500	NULL	2	264.4875595286023	46.36043919807286		ORPHAN
1142223820151938700	NULL	2	215.5992767211722	-15.327425002164263	NULL	SN
1142623740133325200	NULL	2	216.59895439793434	-13.55702165183103	NULL	ORPHAN
1100134970065235100	NULL	2	150.3957458274732	-6.876443163946763	NULL	ORPHAN
1102150890055632600	NULL	2	155.4620617509236	-5.9423891026160165	NULL	SN
1145335960102905200	NULL	2	223.399869249329	-10.484799573425345	NULL	ORPHAN
