ID,RA,DEC,Label,Redshift,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS objid,SDSS type,SDSS distance,SDSS ra,SDSS dec,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS obj,SDSS run,SDSS rerun,SDSS field,SDSS camcol
2096,347.68058,7.56956,SN,,,,,,,,,0,1,,17.4,,12/7/2001 0:00,,,1.24E+18,6,0.052329283,347.6814407,7.569379246,24.22891,22.8148,22.43749,22.11292,22.7405,40,5640,301,280,4
2071,236.64871,8.19067,SN,,,,,,,,,0,1,,23,,4/15/2001 0:00,,,1.24E+18,3,0.006802264,236.6485961,8.190657681,24.71873,23.44938,21.36817,20.45358,19.82726,1088,3836,301,581,4
2070,236.39967,8.28072,SN,,,,,,,,,0,1,,22.8,,4/15/2001 0:00,,,1.24E+18,3,0.00605583,236.3996519,8.280620676,22.9853,22.09159,20.77461,20.2589,20.17605,987,3836,301,579,4
2069,146.13133,8.03411,SN,,,,,,,,,0,1,,21.4,,4/15/2001 0:00,,,1.24E+18,3,0.115310448,146.1309349,8.035991593,24.61908,22.66144,22.62074,22.36087,24.26524,691,3518,301,37,4
2068,209.29983,4.34081,SN,,,,,,,,,0,1,,24.8,,4/15/2001 0:00,,,1.24E+18,3,0.152442383,209.3003733,4.343292275,22.71599,22.466,20.93236,20.08665,19.57427,770,2247,301,323,3
2067,151.63958,7.63422,SN,,,,,,,,,0,1,,23.5,,4/15/2001 0:00,,,1.24E+18,3,0.116345683,151.6383897,7.635758954,25.33027,24.16361,24.06735,23.97156,20.64096,884,3031,301,211,2
2064,209.26892,4.51661,SN,,,,,,,,,0,1,,23.4,,4/15/2001 0:00,,,1.24E+18,3,0.204891602,209.27057,4.513617408,23.83088,22.56013,23.11032,21.51223,21.54686,1124,2190,301,182,3
2062,235.94108,7.96397,SN,,,,,,,,,0,1,,22,,4/15/2001 0:00,,,1.24E+18,3,0.031399707,235.9411816,7.963456441,22.469,22.22018,21.02554,20.86611,20.82191,1367,3894,301,214,4
2061,150.08825,6.86772,SN,,,,,,,,,0,1,,23.7,,4/15/2001 0:00,,,1.24E+18,3,0.006125234,150.088149,6.867738943,22.89284,23.72581,22.39236,21.05959,21.02667,450,3015,301,241,5
2060,150.86921,7.41081,SN,,,,,,,,,0,1,,23.7,,4/15/2001 0:00,,,1.24E+18,3,0.24848648,150.8720944,7.407814987,24.33801,25.08429,23.88981,21.16854,21.48342,991,3015,301,246,6
2059,150.66379,7.27583,SN,,,,,,,,,0,1,,22.7,,4/15/2001 0:00,,,1.24E+18,3,0.057521268,150.6630188,7.276407846,22.31855,23.45528,22.49655,21.39751,21.1984,960,3015,301,245,6
2057,151.09696,7.68008,SN,,,,,,,,,0,1,,23.3,,4/15/2001 0:00,,,1.24E+18,3,0.23805906,151.1004299,7.678100774,23.73839,22.6105,21.4533,20.46026,19.98909,942,3031,301,207,2
2056,210.46408,4.88678,SN,,,,,,,,,0,1,,23.9,,4/15/2001 0:00,,,1.24E+18,3,0.009838434,210.4642383,4.886824968,27.07799,23.41788,21.47385,20.3814,19.67085,834,2190,301,190,4
2053,210.49958,5.08322,SN,,,,,,,,,0,1,,25,,4/15/2001 0:00,,,1.24E+18,3,0.176984061,210.5020772,5.084805558,23.71306,22.55939,21.66699,21.28208,21.21356,562,2247,301,331,5
